dataset,method,comparison_group,training_expected,training_terminal_complete,training_known_nan,source_expected,source_valid_test,source_native_recorded,source_held,ema_expected,ema_valid_test,ema_native_recorded,ema_held,student_expected,student_valid_test,student_native_recorded,student_held,missing_or_ineligible_test
RSAR,A,common_1epoch,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0
DIOR,A,common_1epoch,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0
RSAR,B,common_1epoch,24,24,0,0,0,0,0,24,24,24,0,24,24,24,0,0
DIOR,B,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,C,common_1epoch,24,24,0,0,0,0,0,24,24,24,0,24,24,24,0,0
DIOR,C,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,D,common_1epoch,24,24,0,0,0,0,0,24,24,24,0,24,24,24,0,0
DIOR,D,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,E,common_1epoch,24,24,0,0,0,0,0,24,24,24,0,24,24,24,0,0
DIOR,E,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,F,common_1epoch,24,24,0,0,0,0,0,24,24,24,0,24,24,24,0,0
DIOR,F,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,IRG,common_1epoch,24,24,2,0,0,0,0,24,22,24,0,24,22,22,2,4
DIOR,IRG,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,LPLD,common_1epoch,24,24,2,0,0,0,0,24,22,24,0,24,22,22,2,4
DIOR,LPLD,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,SFUT,common_1epoch,24,24,1,0,0,0,0,24,23,24,0,24,23,23,1,2
DIOR,SFUT,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,12,12,12,0,0
RSAR,B_REG,common_1epoch,24,24,0,0,0,0,0,24,0,0,0,0,0,0,0,24
DIOR,B_REG,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,0,0,0,0,0
RSAR,F_text_only,common_1epoch,24,24,0,0,0,0,0,24,19,19,0,0,0,0,0,5
DIOR,F_text_only,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,0,0,0,0,0
RSAR,F_veto_only,common_1epoch,24,24,0,0,0,0,0,24,20,20,0,0,0,0,0,4
DIOR,F_veto_only,common_1epoch,12,12,0,0,0,0,0,12,12,12,0,0,0,0,0,0
RSAR,SFYOLO,extended_2epoch,24,15,0,0,0,0,0,24,0,0,0,24,0,0,0,48
DIOR,SFYOLO,extended_2epoch,12,12,0,0,0,0,0,12,0,0,0,12,0,0,0,24
RSAR,AASFOD,common_1epoch,24,24,0,0,0,0,0,24,9,9,0,24,9,9,0,30
DIOR,AASFOD,common_1epoch,12,12,0,0,0,0,0,12,0,0,0,12,0,0,0,24
RSAR,LoRA-CGA,supervised_lora_oracle,24,3,0,0,0,0,0,24,0,0,0,0,0,0,0,24
DIOR,LoRA-CGA,supervised_lora_oracle,12,9,0,0,0,0,0,12,0,0,0,0,0,0,0,12
RSAR,LoRA-CGA+VLST,supervised_lora_oracle,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,24
DIOR,LoRA-CGA+VLST,supervised_lora_oracle,12,12,0,0,0,0,0,12,0,0,0,0,0,0,0,12
