dataset,domain,method,seed,role,class_name,native_AP50,AP50,AP50_percent,status,precision,evidence
DIOR,brightness,A,42,source,airplane,0.334,0.334,33.4,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,airport,0.01,0.01,1.0,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,baseballfield,0.482,0.482,48.199999999999996,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,basketballcourt,0.282,0.282,28.199999999999996,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,bridge,0.104,0.104,10.4,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,chimney,0.344,0.344,34.4,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,expressway-service-area,0.216,0.216,21.6,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,expressway-toll-station,0.146,0.146,14.6,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,dam,0.091,0.091,9.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,golffield,0.119,0.119,11.899999999999999,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,groundtrackfield,0.217,0.217,21.7,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,harbor,0.15,0.15,15.0,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,overpass,0.15,0.15,15.0,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,ship,0.654,0.654,65.4,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,stadium,0.196,0.196,19.6,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,storagetank,0.339,0.339,33.900000000000006,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,tenniscourt,0.521,0.521,52.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,trainstation,0.125,0.125,12.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,vehicle,0.265,0.265,26.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,A,42,source,windmill,0.089,0.089,8.9,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,airplane,0.341,0.341,34.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,airport,0.014,0.014,1.4000000000000001,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,baseballfield,0.488,0.488,48.8,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,basketballcourt,0.291,0.291,29.099999999999998,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,bridge,0.107,0.107,10.7,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,chimney,0.355,0.355,35.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,expressway-service-area,0.225,0.225,22.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,expressway-toll-station,0.144,0.144,14.399999999999999,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,dam,0.091,0.091,9.1,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,golffield,0.118,0.118,11.799999999999999,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,groundtrackfield,0.22,0.22,22.0,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,harbor,0.114,0.114,11.4,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,overpass,0.153,0.153,15.299999999999999,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,ship,0.665,0.665,66.5,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,stadium,0.196,0.196,19.6,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,storagetank,0.347,0.347,34.699999999999996,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,tenniscourt,0.533,0.533,53.300000000000004,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,trainstation,0.13,0.13,13.0,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
DIOR,brightness,B,42,ema,vehicle,0.276,0.276,27.6,valid_native_test,printed class_ap.txt (typically 3 decimals),.67:/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt
