dataset,domain,method,role,comparison_group,n_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
DIOR,brightness,A,source,common_1epoch,1,1,42,24.16841983795166,,0.0
DIOR,brightness,AASFOD,ema,common_1epoch,0,3,,,,
DIOR,brightness,AASFOD,student,common_1epoch,0,3,,,,
DIOR,brightness,B,ema,common_1epoch,3,3,42;43;44,24.552730719248455,0.09179418343176557,0.38431088129679364
DIOR,brightness,B,student,common_1epoch,3,3,42;43;44,23.393719395001728,0.1688363516323334,-0.7747004429499308
DIOR,brightness,B_REG,ema,common_1epoch,3,3,42;43;44,24.627238015333813,0.05872040897723614,0.4588181773821513
DIOR,brightness,C,ema,common_1epoch,3,3,42;43;44,24.74161883195241,0.00896334626993114,0.5731989940007528
DIOR,brightness,C,student,common_1epoch,3,3,42;43;44,23.202457030614216,0.4680514925061141,-0.965962807337443
DIOR,brightness,D,ema,common_1epoch,3,3,42;43;44,23.988433182239532,0.02819951032570208,-0.17998665571212769
DIOR,brightness,D,student,common_1epoch,3,3,42;43;44,18.047592043876648,0.7567804471074484,-6.120827794075012
DIOR,brightness,E,ema,common_1epoch,3,3,42;43;44,24.553147951761883,0.09389490700388736,0.3847281138102214
DIOR,brightness,E,student,common_1epoch,3,3,42;43;44,23.193450272083282,0.6134850420155863,-0.9749695658683777
DIOR,brightness,F,ema,common_1epoch,3,3,42;43;44,24.007701873779297,0.1594893841534138,-0.16071796417236328
DIOR,brightness,F,student,common_1epoch,3,3,42;43;44,15.55736760298411,0.8030552426092071,-8.61105223496755
DIOR,brightness,F_text_only,ema,common_1epoch,3,3,42;43;44,23.936361571153004,0.04442217942166045,-0.23205826679865518
DIOR,brightness,F_veto_only,ema,common_1epoch,3,3,42;43;44,24.59673633178075,0.10834394036638874,0.42831649382909137
DIOR,brightness,IRG,ema,common_1epoch,3,3,42;43;44,24.42249208688736,0.09216536587205706,0.25407224893569946
DIOR,brightness,IRG,student,common_1epoch,3,3,42;43;44,23.088031510512035,0.5277083693225437,-1.080388327439626
DIOR,brightness,LPLD,ema,common_1epoch,3,3,42;43;44,24.782695372899372,0.03954812607094045,0.6142755349477133
DIOR,brightness,LPLD,student,common_1epoch,3,3,42;43;44,23.55305751164754,0.4187743292918159,-0.6153623263041178
DIOR,brightness,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
DIOR,brightness,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
DIOR,brightness,SFUT,ema,common_1epoch,3,3,42;43;44,24.2008979121844,0.02321652236999316,0.03247807423273722
DIOR,brightness,SFUT,student,common_1epoch,3,3,42;43;44,23.496413230895996,0.14405558114465497,-0.6720066070556641
DIOR,brightness,SFYOLO,ema,extended_2epoch,0,3,,,,
DIOR,brightness,SFYOLO,student,extended_2epoch,0,3,,,,
DIOR,clean,A,source,common_1epoch,1,1,42,29.48998510837555,,0.0
DIOR,clean,AASFOD,ema,common_1epoch,0,3,,,,
DIOR,clean,AASFOD,student,common_1epoch,0,3,,,,
DIOR,clean,B,ema,common_1epoch,3,3,42;43;44,29.810866713523865,0.09765714707597879,0.32088160514831543
DIOR,clean,B,student,common_1epoch,3,3,42;43;44,27.590482433636982,0.4309425825690637,-1.8995026747385662
DIOR,clean,B_REG,ema,common_1epoch,3,3,42;43;44,29.98492419719696,0.04984769450230293,0.49493908882141113
DIOR,clean,C,ema,common_1epoch,3,3,42;43;44,29.67182993888855,0.1083429527119523,0.1818448305130005
DIOR,clean,C,student,common_1epoch,3,3,42;43;44,26.6979585091273,0.6356594676060773,-2.7920265992482505
DIOR,clean,D,ema,common_1epoch,3,3,42;43;44,29.938016335169475,0.07801926278129773,0.448031226793925
DIOR,clean,D,student,common_1epoch,3,3,42;43;44,20.732345680395763,0.844055403496,-8.757639427979788
DIOR,clean,E,ema,common_1epoch,3,3,42;43;44,29.951510826746624,0.2007273757011657,0.4615257183710734
DIOR,clean,E,student,common_1epoch,3,3,42;43;44,26.603721578915913,1.0153143351326692,-2.8862635294596353
DIOR,clean,F,ema,common_1epoch,3,3,42;43;44,29.772090911865234,0.2682813940279042,0.28210580348968506
DIOR,clean,F,student,common_1epoch,3,3,42;43;44,19.914768139521282,0.5432032782505478,-9.575216968854269
DIOR,clean,F_text_only,ema,common_1epoch,3,3,42;43;44,29.826428492863972,0.09887779962844254,0.33644338448842365
DIOR,clean,F_veto_only,ema,common_1epoch,3,3,42;43;44,29.910799860954285,0.05927550245829581,0.42081475257873535
DIOR,clean,IRG,ema,common_1epoch,3,3,42;43;44,29.77634270985921,0.03368371087881133,0.2863576014836629
DIOR,clean,IRG,student,common_1epoch,3,3,42;43;44,27.467823028564453,0.39131851682542473,-2.022162079811096
DIOR,clean,LPLD,ema,common_1epoch,3,3,42;43;44,29.86292640368144,0.15613720857499247,0.3729412953058879
