dataset,domain,method,seed,status,host,budget,completed_at,evidence,collected_at,note,config_evidence,training_log_evidence,final_train_loss,final_train_top1_acc
RSAR,TRAIN,source_detector,42,complete,221,100 epochs,2026-09-05T12:34:45+00:00,.221:/home/zechuan/iraod_artifacts/rsar_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,2026-09-12T02:03:17.739433+00:00,One source model reused across all domains and adaptation seeds.,,,,
RSAR,TRAIN,LoRA_adapter,42,complete,221,"10 epochs, batch64, rank8, alpha16",2026-09-09T00:47:41.464201+00:00,.221:/home/zechuan/iraod_artifacts/FORMAL_RSAR_LoRA_adapter_788a61a_20138_20260908T195742Z/lora_rsar.pth,2026-09-12T02:03:17.739420+00:00,TRAIN-supervised prerequisite; accuracy is not detector TEST mAP.,.221:/home/zechuan/iraod_artifacts/FORMAL_RSAR_LoRA_adapter_788a61a_20138_20260908T195742Z/config.json,.221:/home/zechuan/iraod_artifacts/FORMAL_RSAR_LoRA_adapter_788a61a_20138_20260908T195742Z/train_log.csv,0.02153047980236625,0.9926630299930143
DIOR,TRAIN,source_detector,42,complete,221,100 epochs,2026-09-06T02:35:32+00:00,.221:/home/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,2026-09-12T02:03:17.750150+00:00,One source model reused across all domains and adaptation seeds.,,,,
DIOR,TRAIN,LoRA_adapter,42,complete,221,"10 epochs, batch64, rank8, alpha16",2026-09-08T18:57:57.487528+00:00,.221:/home/zechuan/iraod_artifacts/FORMAL_DIOR_LoRA_adapter_0fd539a_20138_20260908T183058Z/lora_dior.pth,2026-09-12T02:03:17.750137+00:00,TRAIN-supervised prerequisite; accuracy is not detector TEST mAP.,.221:/home/zechuan/iraod_artifacts/FORMAL_DIOR_LoRA_adapter_0fd539a_20138_20260908T183058Z/config.json,.221:/home/zechuan/iraod_artifacts/FORMAL_DIOR_LoRA_adapter_0fd539a_20138_20260908T183058Z/train_log.csv,0.024952413419870433,0.9921554207268493
RSAR,clean,TAM,42,complete,221,160000 outer iterations; 320000 optimizer updates,2026-09-09T23:19:34.122735+00:00,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/rsar/clean/seed_42/terminal.json,2026-09-12T02:03:17.719743+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
RSAR,chaff,TAM,42,complete,134,160000 outer iterations; 320000 optimizer updates,2026-09-10T00:02:23.472110+00:00,.134:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/rsar/chaff/seed_42/terminal.json,2026-09-12T02:03:17.628356+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
RSAR,gaussian_white_noise,TAM,42,complete,134,160000 outer iterations; 320000 optimizer updates,2026-09-10T00:02:23.571113+00:00,.134:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/rsar/gaussian_white_noise/seed_42/terminal.json,2026-09-12T02:03:17.628519+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
RSAR,point_target,TAM,42,complete,134,160000 outer iterations; 320000 optimizer updates,2026-09-09T23:59:19.626163+00:00,.134:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/rsar/point_target/seed_42/terminal.json,2026-09-12T02:03:17.657596+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
RSAR,noise_suppression,TAM,42,complete,134,160000 outer iterations; 320000 optimizer updates,2026-09-10T00:01:15.391905+00:00,.134:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_runs_84a1aeb/rsar/noise_suppression/seed_42/terminal.json,2026-09-12T02:03:17.628564+00:00,One domain fit reused by detector seeds42/43/44; original final retained.,,,,
RSAR,am_noise_horizontal,TAM,42,unfinished_freshfit,67,160000 outer iterations; 320000 optimizer updates,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/tam_manifests_84a1aeb/runtime.json,2026-09-12T01:56:09.319005+00:00,One domain fit reused by detector seeds42/43/44; prior .183 coordination interruption; no final.,,,,
