dataset,domain,method,seed,role,comparison_group,evaluation_required,status,native_mAP50,mAP50,mAP50_percent,delta_vs_source_pp,relative_vs_source_percent,source_seed,source_id,host,checkpoint,eval_json,eval_status,prediction_image_ids,class_ap,n_images,n_post_nms_detections,evaluated_at,collected_at,training_code_sha,evaluation_code_sha,config,manifest,evidence_basis,note,baseline_method,baseline_role
DIOR,brightness,A,42,source,common_1epoch,True,valid_native_test,0.2416841983795166,0.2416841983795166,24.16841983795166,0.0,0.0,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,67,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/eval_20260907_203847.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/eval_status,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/predictions.pkl.image_ids.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_full_brightness_ids_v1/class_ap.txt,11738,314788,2026-09-07T12:45:39+00:00,2026-09-12T01:56:02.137980+00:00,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,,A,source
DIOR,brightness,AASFOD,42,ema,common_1epoch,True,missing_native_test,,,,,,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_42/methods/AASFOD/work/iter_185_ema.pth,,,,,,,,,,,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_manifests_36c2053/runtime.json,,,A,source
DIOR,brightness,AASFOD,42,student,common_1epoch,True,missing_native_test,,,,,,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_42/methods/AASFOD/work/iter_185.pth,,,,,,,,,,,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/port_student_manifests_b87f34e/runtime.json,,,A,source
DIOR,brightness,AASFOD,43,ema,common_1epoch,True,missing_native_test,,,,,,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_43/methods/AASFOD/work/iter_185_ema.pth,,,,,,,,,,,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_manifests_36c2053/runtime.json,,,A,source
DIOR,brightness,AASFOD,43,student,common_1epoch,True,missing_native_test,,,,,,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_43/methods/AASFOD/work/iter_185.pth,,,,,,,,,,,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/port_student_manifests_b87f34e/runtime.json,,,A,source
DIOR,brightness,AASFOD,44,ema,common_1epoch,True,missing_native_test,,,,,,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_44/methods/AASFOD/work/iter_185_ema.pth,,,,,,,,,,,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_manifests_36c2053/runtime.json,,,A,source
DIOR,brightness,AASFOD,44,student,common_1epoch,True,missing_native_test,,,,,,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_44/methods/AASFOD/work/iter_185.pth,,,,,,,,,,,,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/port_student_manifests_b87f34e/runtime.json,,,A,source
DIOR,brightness,B,42,ema,common_1epoch,True,valid_native_test,0.2446555644273758,0.2446555644273758,24.46555644273758,0.2971366047859192,1.229441588561464,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_205533.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_status,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/predictions.pkl.image_ids.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt,11738,328053,2026-09-07T13:02:29+00:00,2026-09-12T01:56:02.174080+00:00,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,,A,source
DIOR,brightness,B,42,student,common_1epoch,True,valid_native_test,0.23346173763275146,0.23346173763275146,23.346173763275146,-0.8222460746765137,-3.4021507412964613,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/eval_20260908_154220.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/eval_status,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/predictions.pkl.image_ids.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_full_brightness_student_ids_v1/class_ap.txt,11738,306228,2026-09-08T07:49:12+00:00,2026-09-12T01:56:02.197728+00:00,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/repo_manifests_37c65b6/student_queue/runtime.json,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/student_report_84a1aeb/report.json,,A,source
DIOR,brightness,B,43,ema,common_1epoch,True,valid_native_test,0.2454410046339035,0.2454410046339035,24.54410046339035,0.3756806254386902,1.5544277530662454,42,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_20260907_091434.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/eval_status,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/predictions.pkl.image_ids.json,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/eval_full_brightness_ids_v1/class_ap.txt,11738,323920,2026-09-07T01:21:23+00:00,2026-09-12T01:56:02.479794+00:00,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,,A,source
