dataset,method,role,comparison_group,n_complete_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp,valid_cells,expected_cells
DIOR,A,source,common_1epoch,1,1,42,27.71138623356819,,0.0,4,4
DIOR,AASFOD,ema,common_1epoch,0,3,,,,,0,12
DIOR,AASFOD,student,common_1epoch,0,3,,,,,0,12
DIOR,B,ema,common_1epoch,3,3,42;43;44,28.11426768700282,0.06392593380957856,0.4028814534346263,12,12
DIOR,B,student,common_1epoch,3,3,42;43;44,26.00209911664327,0.2704969714788079,-1.7092871169249217,12,12
DIOR,B_REG,ema,common_1epoch,3,3,42;43;44,28.166266903281212,0.04665749641795383,0.4548806697130203,12,12
DIOR,C,ema,common_1epoch,3,3,42;43;44,28.07480792204539,0.023714637827599517,0.3634216884771983,12,12
DIOR,C,student,common_1epoch,3,3,42;43;44,25.495536377032597,0.24667659750170243,-2.2158498565355935,12,12
DIOR,D,ema,common_1epoch,3,3,42;43;44,27.62311038871606,0.04536616070530775,-0.08827584485212962,12,12
DIOR,D,student,common_1epoch,3,3,42;43;44,19.703042258818943,0.6362177319934167,-8.008343974749247,12,12
DIOR,E,ema,common_1epoch,3,3,42;43;44,28.169492383797962,0.024662171069250498,0.4581061502297719,12,12
DIOR,E,student,common_1epoch,3,3,42;43;44,25.601714973648388,0.768103249954997,-2.109671259919802,12,12
DIOR,F,ema,common_1epoch,3,3,42;43;44,27.58986974755923,0.18679695814621022,-0.12151648600896199,12,12
DIOR,F,student,common_1epoch,3,3,42;43;44,18.426825230320294,0.23178202606427228,-9.284561003247896,12,12
DIOR,F_text_only,ema,common_1epoch,3,3,42;43;44,27.573565517862637,0.04409796231013474,-0.13782071570555368,12,12
DIOR,F_veto_only,ema,common_1epoch,3,3,42;43;44,28.171044463912647,0.031040542263455366,0.45965823034445447,12,12
DIOR,IRG,ema,common_1epoch,3,3,42;43;44,27.9883058120807,0.09153251272875908,0.27691957851250965,12,12
DIOR,IRG,student,common_1epoch,3,3,42;43;44,26.021006082495052,0.12664045284147923,-1.690380151073138,12,12
DIOR,LPLD,ema,common_1epoch,3,3,42;43;44,28.125823537508648,0.12447481122369196,0.41443730394045514,12,12
DIOR,LPLD,student,common_1epoch,3,3,42;43;44,26.30697910984357,0.13772975715482932,-1.4044071237246196,12,12
DIOR,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,,0,12
DIOR,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,,0,12
DIOR,SFUT,ema,common_1epoch,3,3,42;43;44,27.866534267862637,0.0018004682321368741,0.15514803429444632,12,12
DIOR,SFUT,student,common_1epoch,3,3,42;43;44,26.025225470463436,0.115356566848221,-1.6861607631047566,12,12
DIOR,SFYOLO,ema,extended_2epoch,0,3,,,,,0,12
DIOR,SFYOLO,student,extended_2epoch,0,3,,,,,0,12
RSAR,A,source,common_1epoch,1,1,42,34.39238611608744,,0.0,8,8
RSAR,AASFOD,ema,common_1epoch,0,3,,,,,9,24
RSAR,AASFOD,student,common_1epoch,0,3,,,,,9,24
RSAR,B,ema,common_1epoch,3,3,42;43;44,34.90326379736265,0.14342340261883108,0.5108776812752088,24,24
RSAR,B,student,common_1epoch,3,3,42;43;44,19.629844464361668,0.8374172623060286,-14.762541651725769,24,24
RSAR,B_REG,ema,common_1epoch,0,3,,,,,0,24
RSAR,C,ema,common_1epoch,3,3,42;43;44,35.463661762575306,0.4587999053234523,1.0712756464878719,24,24
RSAR,C,student,common_1epoch,3,3,42;43;44,23.389945024003584,0.2914248113587235,-11.002441092083851,24,24
RSAR,D,ema,common_1epoch,3,3,42;43;44,33.11205909897884,0.3578772187944923,-1.2803270171085994,24,24
RSAR,D,student,common_1epoch,3,3,42;43;44,19.482432259246707,3.0572046195914466,-14.90995385684073,24,24
RSAR,E,ema,common_1epoch,3,3,42;43;44,35.43796862165133,0.148087301533094,1.045582505563895,24,24
RSAR,E,student,common_1epoch,3,3,42;43;44,18.166852028419573,0.7689671110055076,-16.225534087667864,24,24
RSAR,F,ema,common_1epoch,3,3,42;43;44,32.29267246400317,0.37662634313778554,-2.099713652084271,24,24
RSAR,F,student,common_1epoch,3,3,42;43;44,16.391314985230565,1.046078195440486,-18.00107113085687,24,24
RSAR,F_text_only,ema,common_1epoch,0,3,,,,,19,24
RSAR,F_veto_only,ema,common_1epoch,1,3,44,35.58581955730915,,1.193433441221714,20,24
RSAR,IRG,ema,common_1epoch,2,3,42;43,36.681104358285666,0.03259887510745578,2.288718242198229,22,24
RSAR,IRG,student,common_1epoch,2,3,42;43,17.029849626123905,0.9103559910582179,-17.36253648996353,22,24
RSAR,LPLD,ema,common_1epoch,2,3,42;43,35.10433076880872,0.24693871469758213,0.7119446527212858,22,24
RSAR,LPLD,student,common_1epoch,2,3,42;43,15.652591199614108,0.30844502660022194,-18.73979491647333,22,24
RSAR,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,,0,24
RSAR,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,,0,24
RSAR,SFUT,ema,common_1epoch,2,3,42;43,35.712970700114965,0.07959445512172497,1.3205845840275288,23,24
RSAR,SFUT,student,common_1epoch,2,3,42;43,17.887572525069118,0.3020200358897647,-16.50481359101832,23,24
RSAR,SFYOLO,ema,extended_2epoch,0,3,,,,,0,24
RSAR,SFYOLO,student,extended_2epoch,0,3,,,,,0,24
