dataset,domain,method,seed,comparison_group,status,terminal_complete,numerically_invalid,host,student_checkpoint,ema_checkpoint,completed_at,training_code_sha,terminal_evidence,execution_evidence,collected_at,note
DIOR,brightness,AASFOD,42,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_42/methods/AASFOD/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_42/methods/AASFOD/work/iter_185_ema.pth,2026-09-11T21:29:58.564235+00:00,cbd0f75ab147fea6728f61d6fd696325cc195296,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_42/methods/AASFOD/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_42/methods/AASFOD/execution.json,2026-09-12T01:56:13.685476+00:00,
DIOR,brightness,AASFOD,43,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_43/methods/AASFOD/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_43/methods/AASFOD/work/iter_185_ema.pth,2026-09-11T21:53:21.560931+00:00,cbd0f75ab147fea6728f61d6fd696325cc195296,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_43/methods/AASFOD/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_43/methods/AASFOD/execution.json,2026-09-12T01:56:13.747183+00:00,
DIOR,brightness,AASFOD,44,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_44/methods/AASFOD/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_44/methods/AASFOD/work/iter_185_ema.pth,2026-09-11T21:53:20.402886+00:00,cbd0f75ab147fea6728f61d6fd696325cc195296,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_44/methods/AASFOD/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/aasfod_runs_36c2053/dior/brightness/seed_44/methods/AASFOD/execution.json,2026-09-12T01:56:13.707503+00:00,
DIOR,brightness,B,42,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/work/iter_185_ema.pth,2026-09-06T02:58:50+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.159389+00:00,
DIOR,brightness,B,43,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/work/iter_185_ema.pth,2026-09-07T00:40:25+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_43/0f98a48/methods/B/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.471193+00:00,
DIOR,brightness,B,44,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/work/iter_185_ema.pth,2026-09-07T15:11:32+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_44/0f98a48/methods/B/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.745466+00:00,
DIOR,brightness,B_REG,42,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_42/methods/B_REG/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_42/methods/B_REG/work/iter_185_ema.pth,2026-09-09T01:01:23.066556+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_42/methods/B_REG/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_42/methods/B_REG/execution.json,2026-09-12T01:56:06.641705+00:00,
DIOR,brightness,B_REG,43,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_43/methods/B_REG/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_43/methods/B_REG/work/iter_185_ema.pth,2026-09-09T01:01:22.778545+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_43/methods/B_REG/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_43/methods/B_REG/execution.json,2026-09-12T01:56:06.747991+00:00,
DIOR,brightness,B_REG,44,common_1epoch,complete,True,False,221,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_44/methods/B_REG/work/iter_185.pth,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_44/methods/B_REG/work/iter_185_ema.pth,2026-09-09T01:10:11.209293+00:00,0f98a48b539f9260055fc305784ffbc924f50451,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_44/methods/B_REG/terminal_status,.221:/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/dior/brightness/seed_44/methods/B_REG/execution.json,2026-09-12T01:56:06.815989+00:00,
DIOR,brightness,C,42,common_1epoch,complete,True,False,67,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/work/iter_185_ema.pth,2026-09-06T04:36:23+00:00,0f98a48b539f9260055fc305784ffbc924f50451,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/terminal_status,.67:/mnt/shared/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/report/report.json,2026-09-12T01:56:02.220698+00:00,
