dataset,method,role,domain,budget_detail,valid_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
DIOR,A,source,brightness,fixed_source_reference,1,1,42,24.16841983795166,,0.0
DIOR,A,source,clean,fixed_source_reference,1,1,42,29.48998510837555,,0.0
DIOR,A,source,cloudy,fixed_source_reference,1,1,42,29.026827216148376,,0.0
DIOR,A,source,contrast,fixed_source_reference,1,1,42,28.16031277179718,,0.0
DIOR,AASFOD,ema,brightness,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,20.847244064013164,0.41695270544056806,-3.321175773938497
DIOR,AASFOD,ema,clean,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,24.21101729075114,0.3603265262951784,-5.27896781762441
DIOR,AASFOD,ema,cloudy,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,24.541063606739044,0.7499142253444441,-4.485763609409332
DIOR,AASFOD,ema,contrast,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,23.228314518928528,0.7629371517303148,-4.931998252868652
DIOR,AASFOD,student,brightness,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,16.675274570782978,0.8560999128525048,-7.493145267168681
DIOR,AASFOD,student,clean,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,19.914502402146656,0.7691808775610156,-9.575482706228891
DIOR,AASFOD,student,cloudy,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,20.420267184575398,1.11448859248225,-8.606560031572977
DIOR,AASFOD,student,contrast,1detector_epoch_plus_TSD_disclosed_port,3,3,42;43;44,19.551829993724823,0.9778870788186067,-8.608482778072357
DIOR,B,ema,brightness,common_1detector_epoch,3,3,42;43;44,24.552730719248455,0.09179418343176557,0.38431088129679364
DIOR,B,ema,clean,common_1detector_epoch,3,3,42;43;44,29.810866713523865,0.09765714707597879,0.32088160514831543
DIOR,B,ema,cloudy,common_1detector_epoch,3,3,42;43;44,29.649975895881653,0.10542836691416872,0.6231486797332764
DIOR,B,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.4434974193573,0.11317709510668797,0.28318464756011963
DIOR,B,student,brightness,common_1detector_epoch,3,3,42;43;44,23.393719395001728,0.1688363516323334,-0.7747004429499308
DIOR,B,student,clean,common_1detector_epoch,3,3,42;43;44,27.590482433636982,0.4309425825690637,-1.8995026747385662
DIOR,B,student,cloudy,common_1detector_epoch,3,3,42;43;44,26.732165614763897,0.6235774340246527,-2.294661601384481
DIOR,B,student,contrast,common_1detector_epoch,3,3,42;43;44,26.29202902317047,0.30003899390766586,-1.868283748626709
DIOR,B_REG,ema,brightness,common_1detector_epoch,3,3,42;43;44,24.627238015333813,0.05872040897723614,0.4588181773821513
DIOR,B_REG,ema,clean,common_1detector_epoch,3,3,42;43;44,29.98492419719696,0.04984769450230293,0.49493908882141113
DIOR,B_REG,ema,cloudy,common_1detector_epoch,3,3,42;43;44,29.751389225323994,0.05070042141695336,0.7245620091756185
DIOR,B_REG,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.30151617527008,0.14704125956223804,0.1412034034729004
DIOR,C,ema,brightness,common_1detector_epoch,3,3,42;43;44,24.74161883195241,0.00896334626993114,0.5731989940007528
DIOR,C,ema,clean,common_1detector_epoch,3,3,42;43;44,29.67182993888855,0.1083429527119523,0.1818448305130005
DIOR,C,ema,cloudy,common_1detector_epoch,3,3,42;43;44,29.42676643530528,0.005484243847216869,0.39993921915690106
DIOR,C,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.45901648203532,0.02698053762215107,0.29870371023813885
