dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,A,42,source,ship,0.776,printed class_ap.txt (typically 3 decimals),0.776,0.776,complete,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,aircraft,0.622,printed class_ap.txt (typically 3 decimals),0.622,0.622,complete,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,car,0.784,printed class_ap.txt (typically 3 decimals),0.784,0.784,complete,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,tank,0.173,printed class_ap.txt (typically 3 decimals),0.173,0.173,complete,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,bridge,0.395,printed class_ap.txt (typically 3 decimals),0.395,0.395,complete,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,harbor,0.438,printed class_ap.txt (typically 3 decimals),0.438,0.438,complete,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_text_only,43,ema,ship,0.765,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_text_only,43,ema,aircraft,0.63,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_text_only,43,ema,car,0.755,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_text_only,43,ema,tank,0.144,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_text_only,43,ema,bridge,0.381,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
