dataset,method,role,metric,family,n,status,differences,t,df,t_p,t_na_reason,sign_flip_p,sign_assignments,t_p_holm,sign_flip_p_holm,holm_status,comparison_group
RSAR,IRG,ema,delta_A,RSAR/ema/delta_A/common_one_epoch,3,complete_low_power,"[0.023856401443481445, 0.023310348391532898, -0.07984516876084465]",-0.3159483465384135,2,0.7819657573121228,,1.0,8,1.0,1.0,complete_family,common_one_epoch
RSAR,IRG,ema,clean_delta_A,RSAR/ema/clean_delta_A/common_one_epoch,3,complete_low_power,"[0.017946720123291016, 0.018080949783325195, 0.013883352279663086]",12.078798451954677,2,0.006784459807739266,,0.25,8,0.017965455628177203,0.75,complete_family,common_one_epoch
RSAR,LPLD,ema,delta_A,RSAR/ema/delta_A/common_one_epoch,3,complete_low_power,"[0.009714307529585702, 0.005357509212834495, -0.1006359053509576]",-0.790520950562302,2,0.5120727548257422,,1.0,8,1.0,1.0,complete_family,common_one_epoch
RSAR,LPLD,ema,clean_delta_A,RSAR/ema/clean_delta_A/common_one_epoch,3,complete_low_power,"[0.0029243826866149902, 0.005484044551849365, -0.0007690191268920898]",1.4030389679507964,2,0.2957034887211405,,0.5,8,0.2957034887211405,0.75,complete_family,common_one_epoch
RSAR,SFUT,ema,delta_A,RSAR/ema/delta_A/common_one_epoch,3,complete_low_power,"[0.012622837509427751, 0.013346090912818909, -0.009848515902246748]",0.7057488951851196,2,0.553473842317068,,0.5,8,1.0,1.0,complete_family,common_one_epoch
RSAR,SFUT,ema,clean_delta_A,RSAR/ema/clean_delta_A/common_one_epoch,3,complete_low_power,"[0.012784361839294434, 0.016726672649383545, 0.015532612800598145]",12.864238749479206,2,0.005988485209392401,,0.25,8,0.017965455628177203,0.75,complete_family,common_one_epoch
DIOR,IRG,ema,delta_A,DIOR/ema/delta_A/common_one_epoch,3,complete_low_power,"[0.0027379045883814492, 0.0016290048758188884, 0.0038462976614634195]",4.277195446943633,2,0.05055244967814608,,0.25,8,0.061754978715636524,0.75,complete_family,common_one_epoch
DIOR,IRG,ema,clean_delta_A,DIOR/ema/clean_delta_A/common_one_epoch,3,complete_low_power,"[0.0028254687786102295, 0.0025474131107330322, 0.003217846155166626]",14.724800265853846,2,0.004580461867787387,,0.25,8,0.013063481828892099,0.75,complete_family,common_one_epoch
DIOR,LPLD,ema,delta_A,DIOR/ema/delta_A/common_one_epoch,3,complete_low_power,"[0.003020127614339193, 0.005679170290629069, 0.0041487812995910645]",5.5582275229375036,2,0.030877489357818262,,0.25,8,0.061754978715636524,0.75,complete_family,common_one_epoch
DIOR,LPLD,ema,clean_delta_A,DIOR/ema/clean_delta_A/common_one_epoch,3,complete_low_power,"[0.0020906031131744385, 0.0038979649543762207, 0.0051996707916259766]",4.1370873580085545,2,0.05375858254188964,,0.25,8,0.05375858254188964,0.75,complete_family,common_one_epoch
DIOR,SFUT,ema,delta_A,DIOR/ema/delta_A/common_one_epoch,3,complete_low_power,"[0.0016382882992426555, 0.001748412847518921, 0.001729041337966919]",50.23796191169882,2,0.0003959842887934568,,0.25,8,0.0011879528663803704,0.75,complete_family,common_one_epoch
DIOR,SFUT,ema,clean_delta_A,DIOR/ema/clean_delta_A/common_one_epoch,3,complete_low_power,"[0.0012322962284088135, 0.001041024923324585, 0.0009972155094146729]",15.10459868835468,2,0.004354493942964033,,0.25,8,0.013063481828892099,0.75,complete_family,common_one_epoch
