dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,A,42,source,ship,0.776,printed class_ap.txt (typically 3 decimals),0.776,0.776,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,aircraft,0.622,printed class_ap.txt (typically 3 decimals),0.622,0.622,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,car,0.784,printed class_ap.txt (typically 3 decimals),0.784,0.784,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,tank,0.173,printed class_ap.txt (typically 3 decimals),0.173,0.173,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,bridge,0.395,printed class_ap.txt (typically 3 decimals),0.395,0.395,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,harbor,0.438,printed class_ap.txt (typically 3 decimals),0.438,0.438,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,42,ema,ship,0.772,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,42,ema,aircraft,0.724,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,42,ema,car,0.783,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,42,ema,tank,0.171,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,42,ema,bridge,0.399,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,42,ema,harbor,0.447,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,43,ema,ship,0.773,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,43,ema,aircraft,0.708,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,43,ema,car,0.781,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,43,ema,tank,0.173,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,43,ema,bridge,0.401,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_43/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
