dataset,domain,method,role,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high,comparison_group
RSAR,clean,A,source,fixed_source,1,0.5313997864723206,,,,fixed_source
RSAR,clean,IRG,ema,complete_low_power,3,0.548036793867747,0.0023856795201441998,0.5452831387519836,0.5494807362556458,common_one_epoch
RSAR,clean,LPLD,ema,complete_low_power,3,0.5339462558428446,0.0031436149889033835,0.5306307673454285,0.5368838310241699,common_one_epoch
RSAR,clean,SFUT,ema,complete_low_power,3,0.546414335568746,0.0020215702144675248,0.544184148311615,0.5481264591217041,common_one_epoch
RSAR,chaff,A,source,fixed_source,1,0.4719308912754059,,,,fixed_source
RSAR,chaff,IRG,ema,complete_low_power,3,0.49040838082631427,0.008086197746172764,0.4816264808177948,0.4975461959838867,common_one_epoch
RSAR,chaff,LPLD,ema,complete_low_power,3,0.47914189100265503,0.0020738229184658202,0.47749754786491394,0.4814716577529907,common_one_epoch
RSAR,chaff,SFUT,ema,complete_low_power,3,0.48426905274391174,0.0016732954861131656,0.48245105147361755,0.4857446849346161,common_one_epoch
RSAR,gaussian_white_noise,A,source,fixed_source,1,0.5281371474266052,,,,fixed_source
RSAR,gaussian_white_noise,IRG,ema,complete_low_power,3,0.5474088986714681,0.003555645905512538,0.5439449548721313,0.5510496497154236,common_one_epoch
RSAR,gaussian_white_noise,LPLD,ema,complete_low_power,3,0.5335723161697388,0.0035144685864935783,0.529943585395813,0.5369601249694824,common_one_epoch
RSAR,gaussian_white_noise,SFUT,ema,complete_low_power,3,0.5390218695004781,0.003619840220794947,0.5349575877189636,0.5418992638587952,common_one_epoch
RSAR,point_target,A,source,fixed_source,1,0.5158401131629944,,,,fixed_source
RSAR,point_target,IRG,ema,complete_low_power,3,0.35081897179285687,0.30381815630728287,0.0,0.5263226628303528,common_one_epoch
RSAR,point_target,LPLD,ema,complete_low_power,3,0.34546329577763873,0.2992132862266066,0.0,0.5226585865020752,common_one_epoch
RSAR,point_target,SFUT,ema,complete_low_power,3,0.5227247079213461,0.0013402668632892156,0.5212247371673584,0.5238046646118164,common_one_epoch
RSAR,noise_suppression,A,source,fixed_source,1,0.16340675950050354,,,,fixed_source
RSAR,noise_suppression,IRG,ema,complete_low_power,3,0.1283994565407435,0.11127949449093527,0.0,0.19687826931476593,common_one_epoch
RSAR,noise_suppression,LPLD,ema,complete_low_power,3,0.1240923802057902,0.10746879512386742,0.0,0.18673254549503326,common_one_epoch
RSAR,noise_suppression,SFUT,ema,complete_low_power,3,0.1167380263408025,0.1010994792203429,0.0,0.17563581466674805,common_one_epoch
RSAR,am_noise_horizontal,A,source,fixed_source,1,0.2062060832977295,,,,fixed_source
RSAR,am_noise_horizontal,IRG,ema,complete_low_power,3,0.22062731782595316,0.003605901755935192,0.21648715436458588,0.2230805605649948,common_one_epoch
RSAR,am_noise_horizontal,LPLD,ema,complete_low_power,3,0.19508756697177887,0.005348885297019673,0.1899057775735855,0.20058919489383698,common_one_epoch
RSAR,am_noise_horizontal,SFUT,ema,complete_low_power,3,0.2206826706727346,0.0019772278408214756,0.21850959956645966,0.22237563133239746,common_one_epoch
RSAR,smart_suppression,A,source,fixed_source,1,0.14372646808624268,,,,fixed_source
RSAR,smart_suppression,IRG,ema,complete_low_power,3,0.15951270361741385,0.007603521410842344,0.1543508768081665,0.16824424266815186,common_one_epoch
RSAR,smart_suppression,LPLD,ema,complete_low_power,3,0.13723042358954748,0.019921819175712244,0.1151832714676857,0.1539391726255417,common_one_epoch
RSAR,smart_suppression,SFUT,ema,complete_low_power,3,0.14739995698134103,0.0014156692928912772,0.14627371728420258,0.14898914098739624,common_one_epoch
RSAR,am_noise_vertical,A,source,fixed_source,1,0.19074364006519318,,,,fixed_source
RSAR,am_noise_vertical,IRG,ema,complete_low_power,3,0.24656572937965393,0.0067107194474395945,0.23912502825260162,0.2521597743034363,common_one_epoch
RSAR,am_noise_vertical,LPLD,ema,complete_low_power,3,0.20575368901093802,0.0270973841685779,0.17466510832309723,0.2243628352880478,common_one_epoch
RSAR,am_noise_vertical,SFUT,ema,complete_low_power,3,0.22676911453406015,0.006196681599616815,0.22235678136348724,0.2338535338640213,common_one_epoch
DIOR,clean,A,source,fixed_source,1,0.2948998510837555,,,,fixed_source
DIOR,clean,IRG,ema,complete_low_power,3,0.2977634270985921,0.00033683710878811327,0.2974472641944885,0.2981176972389221,common_one_epoch
DIOR,clean,LPLD,ema,complete_low_power,3,0.2986292640368144,0.0015613720857499246,0.29699045419692993,0.30009952187538147,common_one_epoch
DIOR,clean,SFUT,ema,complete_low_power,3,0.29599002997080487,0.00012501128038338257,0.29589706659317017,0.2961321473121643,common_one_epoch
DIOR,brightness,A,source,fixed_source,1,0.2416841983795166,,,,fixed_source
DIOR,brightness,IRG,ema,complete_low_power,3,0.2442249208688736,0.0009216536587205707,0.2431912124156952,0.2449609339237213,common_one_epoch
DIOR,brightness,LPLD,ema,complete_low_power,3,0.24782695372899374,0.0003954812607094045,0.24748721718788147,0.24826109409332275,common_one_epoch
DIOR,brightness,SFUT,ema,complete_low_power,3,0.24200897912184396,0.00023216522369993162,0.24181382358074188,0.2422657310962677,common_one_epoch
DIOR,cloudy,A,source,fixed_source,1,0.29026827216148376,,,,fixed_source
DIOR,cloudy,IRG,ema,complete_low_power,3,0.29329996307690936,0.0017849434556394942,0.29144078493118286,0.29500001668930054,common_one_epoch
