dataset,method,role,seed,corruptions_observed,corruptions_expected,status,mPC,delta_A,rPC_percent,method_clean_normalized_percent,clean_mAP50,clean_delta_A,comparison_group
RSAR,IRG,ema,42,7,7,complete_corruption_block,0.3409979875598635,0.023856401443481445,64.16976375236563,62.07338782821843,0.5493465065956116,0.017946720123291016,common_one_epoch
RSAR,IRG,ema,43,7,7,complete_corruption_block,0.34045193450791494,0.023310348391532898,64.0670062681044,61.95884806224031,0.5494807362556458,0.018080949783325195,common_one_epoch
RSAR,IRG,ema,44,7,7,complete_corruption_block,0.23729641735553741,-0.07984516876084465,44.6549704001241,43.51801852862155,0.5452831387519836,0.013883352279663086,common_one_epoch
RSAR,LPLD,ema,42,7,7,complete_corruption_block,0.32685589364596773,0.009714307529585702,61.50847289867944,61.171833974956115,0.5343241691589355,0.0029243826866149902,common_one_epoch
RSAR,LPLD,ema,43,7,7,complete_corruption_block,0.32249909532921656,0.005357509212834495,60.688600849864066,60.06869208819552,0.5368838310241699,0.005484044551849365,common_one_epoch
RSAR,LPLD,ema,44,7,7,complete_corruption_block,0.21650568076542445,-0.1006359053509576,40.742523101616214,40.80156939420066,0.5306307673454285,-0.0007690191268920898,common_one_epoch
RSAR,SFUT,ema,42,7,7,complete_corruption_block,0.3297644236258098,0.012622837509427751,62.05580657360436,60.59794733987318,0.544184148311615,0.012784361839294434,common_one_epoch
RSAR,SFUT,ema,43,7,7,complete_corruption_block,0.33048767702920095,0.013346090912818909,62.19191001621061,60.29405651366679,0.5481264591217041,0.016726672649383545,common_one_epoch
RSAR,SFUT,ema,44,7,7,complete_corruption_block,0.3072930702141353,-0.009848515902246748,57.827097043845264,56.184835753494355,0.5469323992729187,0.015532612800598145,common_one_epoch
DIOR,IRG,ema,42,3,3,complete_corruption_block,0.2739231040080388,0.0027379045883814492,92.88682344238994,92.00531017471731,0.2977253198623657,0.0028254687786102295,common_one_epoch
DIOR,IRG,ema,43,3,3,complete_corruption_block,0.27281420429547626,0.0016290048758188884,92.51079757852892,91.71851186269251,0.2974472641944885,0.0025474131107330322,common_one_epoch
DIOR,IRG,ema,44,3,3,complete_corruption_block,0.2750314970811208,0.0038462976614634195,93.26267750572997,92.25601151101768,0.2981176972389221,0.003217846155166626,common_one_epoch
DIOR,LPLD,ema,42,3,3,complete_corruption_block,0.2742053270339966,0.003020127614339193,92.98252475418124,92.32799342842686,0.29699045419692993,0.0020906031131744385,common_one_epoch
DIOR,LPLD,ema,43,3,3,complete_corruption_block,0.27686436971028644,0.005679170290629069,93.88420126114383,92.6594355277864,0.2987978160381317,0.0038979649543762207,common_one_epoch
DIOR,LPLD,ema,44,3,3,complete_corruption_block,0.2753339807192485,0.0041487812995910645,93.36524915404244,91.74755727654339,0.30009952187538147,0.0051996707916259766,common_one_epoch
DIOR,SFUT,ema,42,3,3,complete_corruption_block,0.2728234877189,0.0016382882992426555,92.51394557042842,92.12896681267983,0.2961321473121643,0.0012322962284088135,common_one_epoch
DIOR,SFUT,ema,43,3,3,complete_corruption_block,0.27293361226717633,0.001748412847518921,92.55128860328232,92.22572290441104,0.2959408760070801,0.001041024923324585,common_one_epoch
DIOR,SFUT,ema,44,3,3,complete_corruption_block,0.2729142407576243,0.001729041337966919,92.5447197598323,92.23283079478952,0.29589706659317017,0.0009972155094146729,common_one_epoch
