dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation,comparison_group
RSAR,chaff,A,42,source,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
RSAR,chaff,IRG,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.009695589542388916,0.16303631520788597,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,IRG,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.025615304708480835,0.43073449781878226,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,IRG,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.02012157440185547,0.33835460260743844,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,LPLD,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.005566656589508057,0.09360618809338268,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,LPLD,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.009540766477584839,0.16043288589763186,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,LPLD,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.006525576114654541,0.10973091215242715,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,SFUT,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.01052016019821167,0.17690189406373014,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,SFUT,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.012680530548095703,0.213229630483426,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,chaff,SFUT,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.013813793659210205,0.23228603143659685,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,A,42,source,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
RSAR,gaussian_white_noise,IRG,42,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.01909494400024414,5.852606964083452,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,IRG,43,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.02291250228881836,7.022689904636633,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,IRG,44,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.015807807445526123,4.845098469070846,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,LPLD,42,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.008822977542877197,2.70424567941832,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,LPLD,43,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.005676090717315674,1.739723775073989,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,LPLD,44,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.0018064379692077637,0.553673864591326,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,SFUT,42,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.013762116432189941,4.218093463407505,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,SFUT,43,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.0068204402923583984,2.090467317037524,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,gaussian_white_noise,SFUT,44,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.012071609497070312,3.6999525010047862,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,A,42,source,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
RSAR,point_target,IRG,42,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,0.010482549667358398,0.6736998559651864,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,IRG,43,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,0.010294139385223389,0.6615909717753057,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,IRG,44,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.5158401131629944,-33.15237427599522,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,LPLD,42,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.0021088123321533203,-0.13553063038215193,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,LPLD,43,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,0.0068184733390808105,0.4382144279979161,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,LPLD,44,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,-0.5158401131629944,-33.15237427599522,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,SFUT,42,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,0.005384624004364014,0.3460627930495541,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,point_target,SFUT,43,ema,complete,0.5313997864723206,0.5158401131629944,0.015559673309326172,0.007964551448822021,0.5118713799760963,descriptive_only_unstable_near_zero_gap,common_one_epoch
