dataset,method,role,metric,family,n,status,differences,t,df,t_p,t_na_reason,sign_flip_p,sign_assignments,t_p_holm,sign_flip_p_holm,holm_status
RSAR,B,student,delta_A,RSAR/student/delta_A/B-F,3,complete_low_power,"[-0.1272738544004304, -0.13010233640670776, -0.1424726407442774]",-28.559616459822006,2,0.0012237634505467292,,0.25,8,0.003976022141910289,1.0,complete_family
RSAR,B,student,clean_delta_A,RSAR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.2545916736125946, -0.22850945591926575, -0.26096704602241516]",-24.980388967430756,2,0.0015986713558065464,,0.25,8,0.004796014067419639,1.0,complete_family
RSAR,C,student,delta_A,RSAR/student/delta_A/B-F,3,complete_low_power,"[-0.09400044488055366, -0.09840654475348336, -0.09709758843694415]",-73.8693374769111,2,0.000183211288024899,,0.25,8,0.0009160564401244951,1.0,complete_family
RSAR,C,student,clean_delta_A,RSAR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.19539529085159302, -0.20251470804214478, -0.21614381670951843]",-33.626219221035115,2,0.0008832187047268986,,0.25,8,0.0035328748189075946,1.0,complete_family
RSAR,D,student,delta_A,RSAR/student/delta_A/B-F,3,complete_low_power,"[-0.16289774168814933, -0.1550088578036853, -0.108955337532929]",-8.45897945855669,2,0.013689087600960059,,0.25,8,0.013689087600960059,1.0,complete_family
RSAR,D,student,clean_delta_A,RSAR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.21378126740455627, -0.22787770628929138, -0.1486963927745819]",-8.06950177871659,2,0.015012067249866945,,0.25,8,0.015012067249866945,1.0,complete_family
RSAR,E,student,delta_A,RSAR/student/delta_A/B-F,3,complete_low_power,"[-0.1374486642224448, -0.15311312143291747, -0.14342079418046133]",-31.69433487950205,2,0.0009940055354775723,,0.25,8,0.003976022141910289,1.0,complete_family
RSAR,E,student,clean_delta_A,RSAR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.2863519787788391, -0.29510514438152313, -0.27479299902915955]",-48.521860837332696,2,0.00042447148163783394,,0.25,8,0.0021223574081891696,1.0,complete_family
RSAR,F,student,delta_A,RSAR/student/delta_A/B-F,3,complete_low_power,"[-0.18164634172405517, -0.16720796057156154, -0.15163795596786908]",-19.254009886397895,2,0.002686610456825487,,0.25,8,0.005373220913650974,1.0,complete_family
RSAR,F,student,clean_delta_A,RSAR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.257245272397995, -0.2585258185863495, -0.3010401725769043]",-18.92130108373397,2,0.002781525587185506,,0.25,8,0.005563051174371012,1.0,complete_family
DIOR,B,student,delta_A,DIOR/student/delta_A/B-F,3,complete_low_power,"[-0.01805805166562398, -0.013981610536575317, -0.017336795727411907]",-13.10433962117168,2,0.005772929790758016,,0.25,8,0.011545859581516032,1.0,complete_family
DIOR,B,student,clean_delta_A,DIOR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.021720826625823975, -0.014026761054992676, -0.021237492561340332]",-7.634509270693639,2,0.016727578851985326,,0.25,8,0.05018273655595598,1.0,complete_family
DIOR,C,student,delta_A,DIOR/student/delta_A/B-F,3,complete_low_power,"[-0.020279884338378906, -0.021386514107386272, -0.019047329823176067]",-29.955886254296978,2,0.0011125266863659534,,0.25,8,0.004450106745463814,1.0,complete_family
DIOR,C,student,clean_delta_A,DIOR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.02813979983329773, -0.034164249897003174, -0.021456748247146606]",-7.60773994949538,2,0.01684254189456753,,0.25,8,0.05018273655595598,1.0,complete_family
DIOR,D,student,delta_A,DIOR/student/delta_A/B-F,3,complete_low_power,"[-0.07105457782745361, -0.07968844473361969, -0.08201434214909871]",-23.271670652889544,2,0.001841382588600344,,0.25,8,0.005524147765801032,1.0,complete_family
DIOR,D,student,clean_delta_A,DIOR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.07920032739639282, -0.08744886517524719, -0.0960799902677536]",-17.971185754871264,2,0.0030820179300149017,,0.25,8,0.012328071720059607,1.0,complete_family
DIOR,E,student,delta_A,DIOR/student/delta_A/B-F,3,complete_low_power,"[-0.011371557911237081, -0.025393669803937275, -0.01875898738702138]",-4.570143878822039,2,0.04469316410735683,,0.25,8,0.04469316410735683,1.0,complete_family
DIOR,E,student,clean_delta_A,DIOR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.02125561237335205, -0.04039183259010315, -0.024940460920333862]",-4.923751102562665,2,0.03885997664248414,,0.25,8,0.05018273655595598,1.0,complete_family
DIOR,F,student,delta_A,DIOR/student/delta_A/B-F,3,complete_low_power,"[-0.08707274993260701, -0.09546825289726257, -0.0930892676115036]",-36.776451005082976,2,0.0007385485296664476,,0.25,8,0.0036927426483322383,1.0,complete_family
DIOR,F,student,clean_delta_A,DIOR/student/clean_delta_A/B-F,3,complete_low_power,"[-0.1015910804271698, -0.09481698274612427, -0.09084844589233398]",-30.53141051903165,2,0.0010710459474819025,,0.25,8,0.005355229737409512,1.0,complete_family
