dataset,domain,method,role,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high
RSAR,clean,A,source,fixed_source,1,0.5313997864723206,,,
RSAR,clean,B,student,complete_low_power,3,0.28337706128756207,0.0171970085018207,0.2704327404499054,0.3028903305530548
RSAR,clean,C,student,complete_low_power,3,0.32671518127123517,0.010543086435173236,0.3152559697628021,0.33600449562072754
RSAR,clean,D,student,complete_low_power,3,0.33461466431617737,0.0422382743191237,0.3035220801830292,0.38270339369773865
RSAR,clean,E,student,complete_low_power,3,0.2459830790758133,0.010188319862609492,0.23629464209079742,0.256606787443161
RSAR,clean,F,student,complete_low_power,3,0.2591293652852376,0.024923561059953366,0.23035961389541626,0.27415451407432556
RSAR,chaff,A,source,fixed_source,1,0.4719308912754059,,,
RSAR,chaff,B,student,complete_low_power,3,0.24193111062049866,0.015877305117911227,0.22407646477222443,0.25446364283561707
RSAR,chaff,C,student,complete_low_power,3,0.2928632398446401,0.008051090934888976,0.2861730754375458,0.30179861187934875
RSAR,chaff,D,student,complete_low_power,3,0.28042206168174744,0.0543153993454053,0.2482573240995407,0.3431331217288971
RSAR,chaff,E,student,complete_low_power,3,0.22398176292578378,0.00849365713476392,0.21828259527683258,0.2337437868118286
RSAR,chaff,F,student,complete_low_power,3,0.22165006895860037,0.04971736642954455,0.17414510250091553,0.2733180522918701
RSAR,gaussian_white_noise,A,source,fixed_source,1,0.5281371474266052,,,
RSAR,gaussian_white_noise,B,student,complete_low_power,3,0.2781534294287364,0.01672841903658101,0.26275306940078735,0.2959512174129486
RSAR,gaussian_white_noise,C,student,complete_low_power,3,0.31703293323516846,0.0029278490876896482,0.31420639157295227,0.32005253434181213
RSAR,gaussian_white_noise,D,student,complete_low_power,3,0.3213249047597249,0.05811101803021697,0.2628660798072815,0.37908175587654114
RSAR,gaussian_white_noise,E,student,complete_low_power,3,0.24726281066735586,0.02162392740329259,0.22566302120685577,0.26891079545021057
RSAR,gaussian_white_noise,F,student,complete_low_power,3,0.26759104430675507,0.01949680609074837,0.24751268327236176,0.28644895553588867
RSAR,point_target,A,source,fixed_source,1,0.5158401131629944,,,
RSAR,point_target,B,student,complete_low_power,3,0.27330492933591205,0.004429899983117811,0.27050450444221497,0.27841219305992126
RSAR,point_target,C,student,complete_low_power,3,0.31969446937243146,0.011947206950569153,0.3081357181072235,0.33199551701545715
RSAR,point_target,D,student,complete_low_power,3,0.3112890124320984,0.0382729503201654,0.2748311161994934,0.3511497676372528
RSAR,point_target,E,student,complete_low_power,3,0.24904657900333405,0.02956960197537819,0.215757355093956,0.27226629853248596
RSAR,point_target,F,student,complete_low_power,3,0.2733874022960663,0.009618431234985002,0.26311439275741577,0.28217947483062744
RSAR,noise_suppression,A,source,fixed_source,1,0.16340675950050354,,,
RSAR,noise_suppression,B,student,complete_low_power,3,0.13888689130544662,0.018075009759191924,0.11801633983850479,0.14946721494197845
RSAR,noise_suppression,C,student,complete_low_power,3,0.18236590921878815,0.007037538558819517,0.17525513470172882,0.18932785093784332
RSAR,noise_suppression,D,student,complete_low_power,3,0.09881805628538132,0.012175925808706184,0.08737795799970627,0.11161597818136215
RSAR,noise_suppression,E,student,complete_low_power,3,0.13523325324058533,0.012225805096717,0.12142336368560791,0.14467503130435944
RSAR,noise_suppression,F,student,complete_low_power,3,0.104974331955115,0.02901891614923824,0.07927240431308746,0.13644398748874664
RSAR,am_noise_horizontal,A,source,fixed_source,1,0.2062060832977295,,,
RSAR,am_noise_horizontal,B,student,complete_low_power,3,0.11208244909842809,0.009194991962177053,0.10670911520719528,0.12269964814186096
