dataset,domain,method,seed,role,status,mAP50,eval_dir,eval_json,checkpoint_verified,missing,searched,native_sidecar_present
RSAR,clean,A,42,source,metadata_collected,0.5313997864723206,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/eval_20260907_053721.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/eval_20260907_053721.json""]}]",True
RSAR,clean,B,42,ema,metadata_collected,0.5197048783302307,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_060433.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_060433.json""]}]",True
RSAR,clean,B,43,ema,metadata_collected,0.5253969430923462,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_043547.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_043547.json""]}]",True
RSAR,clean,B,44,ema,metadata_collected,0.5282383561134338,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_133211.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_133211.json""]}]",True
RSAR,clean,C,42,ema,metadata_collected,0.5268602967262268,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_062325.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_062325.json""]}]",True
RSAR,clean,C,43,ema,metadata_collected,0.510209321975708,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_043547.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_043547.json""]}]",True
RSAR,clean,C,44,ema,metadata_collected,0.5266595482826233,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_132630.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_132630.json""]}]",True
RSAR,clean,D,42,ema,metadata_collected,0.5099200010299683,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_063934.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_063934.json""]}]",True
RSAR,clean,D,43,ema,metadata_collected,0.5099552273750305,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_043548.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_043548.json""]}]",True
RSAR,clean,D,44,ema,metadata_collected,0.5112261176109314,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_134138.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_134138.json""]}]",True
