dataset,corruption,method,seed,ckpt_role,mAP50,status,code,source_sha,n_classes_ap
DIOR,clean_val,A,42,source,0.40987735986709595,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,clean,A,42,source,0.2948998510837555,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,brightness,A,42,source,0.2416841983795166,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,brightness,B,42,ema,0.2446555644273758,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,brightness,C,42,ema,0.24738624691963196,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,brightness,D,42,ema,0.23989610373973846,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,brightness,E,42,ema,0.24478599429130554,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,brightness,F,42,ema,0.2418944090604782,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,cloudy,A,42,source,0.29026827216148376,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,cloudy,B,42,ema,0.29717421531677246,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,cloudy,C,42,ema,0.29425033926963806,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,cloudy,D,42,ema,0.28670230507850647,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,cloudy,E,42,ema,0.2975709140300751,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,cloudy,F,42,ema,0.2878604531288147,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,contrast,A,42,source,0.2816031277179718,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,contrast,B,42,ema,0.28456738591194153,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,contrast,C,42,ema,0.28470754623413086,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,contrast,D,42,ema,0.27767622470855713,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,contrast,E,42,ema,0.28468215465545654,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
DIOR,contrast,F,42,ema,0.2824195623397827,done,0f98a48b539f9260055fc305784ffbc924f50451,74d7eafdc547976a86f8f35b2652dba384948e33ab5c15bb908fa3e54025782a,20
