dataset,corruption,method,role,checkpoint,config,n_images,n_feature_files,feature_bytes,feature_dir,index_path,feature_pattern,extraction_point,metadata,row_alignment,status
DIOR,brightness,A,ema,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/A/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/A/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,B,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/B/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/B/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,B,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/B/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/B/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,C,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/C/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/C/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,C,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/C/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/C/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,D,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/D/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/D/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/D/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,D,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/D/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/D/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/D/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,E,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/E/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/E/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/E/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,E,student,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/E/ddp2/work/iter_185.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/E/student,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/E/student/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
DIOR,brightness,F,ema,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/F/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,16,16,131074048,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/F/ema,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/F/ema/index.json,<image_id>.npy,roi_head.bbox_head.fc_cls input,"image_id;n_roi;preds[class_id,score,rotated_box]",pre-NMS features; post-NMS preds; no row mapping,done
