dataset,corruption,method,checkpoint,config,eval_json,mAP50
DIOR,brightness,A,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/A/eval_brightness/eval_20260906_104351.json,0.2416841983795166
DIOR,brightness,B,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/B/eval_brightness/eval_20260906_111333.json,0.2446555644273758
DIOR,brightness,C,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/C/eval_brightness/eval_20260906_123720.json,0.24738624691963196
DIOR,brightness,D,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/D/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/D/eval_brightness/eval_20260906_111352.json,0.23989610373973846
DIOR,brightness,E,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/E/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/E/eval_brightness/eval_20260906_142812.json,0.24478599429130554
DIOR,brightness,F,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/F/ddp2/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/brightness/seed_42/0f98a48/methods/F/eval_brightness/eval_20260906_151721.json,0.2418944090604782
DIOR,cloudy,A,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/A/eval_cloudy/eval_20260906_104351.json,0.29026827216148376
DIOR,cloudy,B,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/B/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/B/eval_cloudy/eval_20260906_111333.json,0.29717421531677246
DIOR,cloudy,C,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/C/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/C/eval_cloudy/eval_20260906_132446.json,0.29425033926963806
DIOR,cloudy,D,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/D/work/iter_185_ema.pth,/mnt/shared/zechuan/iraod_artifacts/dior_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/resolved_config.py,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/cloudy/seed_42/0f98a48/methods/D/eval_cloudy/eval_20260906_130714.json,0.28670230507850647
