dataset,corruption,method,ckpt_role,class_name,AP50,mAP50
DIOR,clean_val,A,source,airplane,0.794,0.40987735986709595
DIOR,clean_val,A,source,airport,0.091,0.40987735986709595
DIOR,clean_val,A,source,baseballfield,0.811,0.40987735986709595
DIOR,clean_val,A,source,basketballcourt,0.407,0.40987735986709595
DIOR,clean_val,A,source,bridge,0.127,0.40987735986709595
DIOR,clean_val,A,source,chimney,0.677,0.40987735986709595
DIOR,clean_val,A,source,expressway-service-area,0.331,0.40987735986709595
DIOR,clean_val,A,source,expressway-toll-station,0.219,0.40987735986709595
DIOR,clean_val,A,source,dam,0.047,0.40987735986709595
DIOR,clean_val,A,source,golffield,0.295,0.40987735986709595
DIOR,clean_val,A,source,groundtrackfield,0.362,0.40987735986709595
DIOR,clean_val,A,source,harbor,0.149,0.40987735986709595
DIOR,clean_val,A,source,overpass,0.249,0.40987735986709595
DIOR,clean_val,A,source,ship,0.795,0.40987735986709595
DIOR,clean_val,A,source,stadium,0.636,0.40987735986709595
DIOR,clean_val,A,source,storagetank,0.672,0.40987735986709595
DIOR,clean_val,A,source,tenniscourt,0.725,0.40987735986709595
DIOR,clean_val,A,source,trainstation,0.071,0.40987735986709595
DIOR,clean_val,A,source,vehicle,0.53,0.40987735986709595
DIOR,clean_val,A,source,windmill,0.208,0.40987735986709595
DIOR,clean,A,source,airplane,0.488,0.2948998510837555
DIOR,clean,A,source,airport,0.009,0.2948998510837555
DIOR,clean,A,source,baseballfield,0.532,0.2948998510837555
DIOR,clean,A,source,basketballcourt,0.367,0.2948998510837555
DIOR,clean,A,source,bridge,0.114,0.2948998510837555
DIOR,clean,A,source,chimney,0.418,0.2948998510837555
DIOR,clean,A,source,expressway-service-area,0.281,0.2948998510837555
DIOR,clean,A,source,expressway-toll-station,0.198,0.2948998510837555
DIOR,clean,A,source,dam,0.021,0.2948998510837555
DIOR,clean,A,source,golffield,0.277,0.2948998510837555
DIOR,clean,A,source,groundtrackfield,0.248,0.2948998510837555
DIOR,clean,A,source,harbor,0.118,0.2948998510837555
DIOR,clean,A,source,overpass,0.179,0.2948998510837555
DIOR,clean,A,source,ship,0.703,0.2948998510837555
DIOR,clean,A,source,stadium,0.264,0.2948998510837555
DIOR,clean,A,source,storagetank,0.485,0.2948998510837555
DIOR,clean,A,source,tenniscourt,0.618,0.2948998510837555
DIOR,clean,A,source,trainstation,0.081,0.2948998510837555
DIOR,clean,A,source,vehicle,0.303,0.2948998510837555
DIOR,clean,A,source,windmill,0.195,0.2948998510837555
DIOR,brightness,A,source,airplane,0.334,0.2416841983795166
DIOR,brightness,A,source,airport,0.01,0.2416841983795166
DIOR,brightness,A,source,baseballfield,0.482,0.2416841983795166
DIOR,brightness,A,source,basketballcourt,0.282,0.2416841983795166
DIOR,brightness,A,source,bridge,0.104,0.2416841983795166
DIOR,brightness,A,source,chimney,0.344,0.2416841983795166
DIOR,brightness,A,source,expressway-service-area,0.216,0.2416841983795166
DIOR,brightness,A,source,expressway-toll-station,0.146,0.2416841983795166
DIOR,brightness,A,source,dam,0.091,0.2416841983795166
DIOR,brightness,A,source,golffield,0.119,0.2416841983795166
DIOR,brightness,A,source,groundtrackfield,0.217,0.2416841983795166
DIOR,brightness,A,source,harbor,0.15,0.2416841983795166
DIOR,brightness,A,source,overpass,0.15,0.2416841983795166
DIOR,brightness,A,source,ship,0.654,0.2416841983795166
DIOR,brightness,A,source,stadium,0.196,0.2416841983795166
DIOR,brightness,A,source,storagetank,0.339,0.2416841983795166
DIOR,brightness,A,source,tenniscourt,0.521,0.2416841983795166
DIOR,brightness,A,source,trainstation,0.125,0.2416841983795166
DIOR,brightness,A,source,vehicle,0.265,0.2416841983795166
DIOR,brightness,A,source,windmill,0.089,0.2416841983795166
DIOR,brightness,B,ema,airplane,0.341,0.2446555644273758
DIOR,brightness,B,ema,airport,0.014,0.2446555644273758
DIOR,brightness,B,ema,baseballfield,0.488,0.2446555644273758
DIOR,brightness,B,ema,basketballcourt,0.291,0.2446555644273758
DIOR,brightness,B,ema,bridge,0.107,0.2446555644273758
DIOR,brightness,B,ema,chimney,0.355,0.2446555644273758
DIOR,brightness,B,ema,expressway-service-area,0.225,0.2446555644273758
DIOR,brightness,B,ema,expressway-toll-station,0.144,0.2446555644273758
DIOR,brightness,B,ema,dam,0.091,0.2446555644273758
DIOR,brightness,B,ema,golffield,0.118,0.2446555644273758
DIOR,brightness,B,ema,groundtrackfield,0.22,0.2446555644273758
DIOR,brightness,B,ema,harbor,0.114,0.2446555644273758
DIOR,brightness,B,ema,overpass,0.153,0.2446555644273758
DIOR,brightness,B,ema,ship,0.665,0.2446555644273758
DIOR,brightness,B,ema,stadium,0.196,0.2446555644273758
DIOR,brightness,B,ema,storagetank,0.347,0.2446555644273758
DIOR,brightness,B,ema,tenniscourt,0.533,0.2446555644273758
DIOR,brightness,B,ema,trainstation,0.13,0.2446555644273758
DIOR,brightness,B,ema,vehicle,0.276,0.2446555644273758
DIOR,brightness,B,ema,windmill,0.085,0.2446555644273758
DIOR,brightness,C,ema,airplane,0.342,0.24738624691963196
DIOR,brightness,C,ema,airport,0.017,0.24738624691963196
DIOR,brightness,C,ema,baseballfield,0.491,0.24738624691963196
DIOR,brightness,C,ema,basketballcourt,0.293,0.24738624691963196
DIOR,brightness,C,ema,bridge,0.108,0.24738624691963196
DIOR,brightness,C,ema,chimney,0.373,0.24738624691963196
DIOR,brightness,C,ema,expressway-service-area,0.235,0.24738624691963196
DIOR,brightness,C,ema,expressway-toll-station,0.144,0.24738624691963196
DIOR,brightness,C,ema,dam,0.091,0.24738624691963196
DIOR,brightness,C,ema,golffield,0.124,0.24738624691963196
DIOR,brightness,C,ema,groundtrackfield,0.227,0.24738624691963196
DIOR,brightness,C,ema,harbor,0.11,0.24738624691963196
DIOR,brightness,C,ema,overpass,0.155,0.24738624691963196
DIOR,brightness,C,ema,ship,0.659,0.24738624691963196
DIOR,brightness,C,ema,stadium,0.208,0.24738624691963196
DIOR,brightness,C,ema,storagetank,0.342,0.24738624691963196
DIOR,brightness,C,ema,tenniscourt,0.534,0.24738624691963196
DIOR,brightness,C,ema,trainstation,0.131,0.24738624691963196
DIOR,brightness,C,ema,vehicle,0.276,0.24738624691963196
DIOR,brightness,C,ema,windmill,0.088,0.24738624691963196
DIOR,brightness,D,ema,airplane,0.313,0.23989610373973846
DIOR,brightness,D,ema,airport,0.023,0.23989610373973846
DIOR,brightness,D,ema,baseballfield,0.486,0.23989610373973846
DIOR,brightness,D,ema,basketballcourt,0.291,0.23989610373973846
DIOR,brightness,D,ema,bridge,0.107,0.23989610373973846
DIOR,brightness,D,ema,chimney,0.357,0.23989610373973846
DIOR,brightness,D,ema,expressway-service-area,0.227,0.23989610373973846
DIOR,brightness,D,ema,expressway-toll-station,0.139,0.23989610373973846
DIOR,brightness,D,ema,dam,0.091,0.23989610373973846
DIOR,brightness,D,ema,golffield,0.122,0.23989610373973846
DIOR,brightness,D,ema,groundtrackfield,0.231,0.23989610373973846
DIOR,brightness,D,ema,harbor,0.103,0.23989610373973846
DIOR,brightness,D,ema,overpass,0.155,0.23989610373973846
DIOR,brightness,D,ema,ship,0.616,0.23989610373973846
DIOR,brightness,D,ema,stadium,0.195,0.23989610373973846
DIOR,brightness,D,ema,storagetank,0.34,0.23989610373973846
DIOR,brightness,D,ema,tenniscourt,0.533,0.23989610373973846
DIOR,brightness,D,ema,trainstation,0.134,0.23989610373973846
DIOR,brightness,D,ema,vehicle,0.248,0.23989610373973846
DIOR,brightness,D,ema,windmill,0.087,0.23989610373973846
DIOR,brightness,E,ema,airplane,0.341,0.24478599429130554
DIOR,brightness,E,ema,airport,0.014,0.24478599429130554
DIOR,brightness,E,ema,baseballfield,0.491,0.24478599429130554
DIOR,brightness,E,ema,basketballcourt,0.29,0.24478599429130554
DIOR,brightness,E,ema,bridge,0.107,0.24478599429130554
DIOR,brightness,E,ema,chimney,0.352,0.24478599429130554
DIOR,brightness,E,ema,expressway-service-area,0.226,0.24478599429130554
DIOR,brightness,E,ema,expressway-toll-station,0.142,0.24478599429130554
DIOR,brightness,E,ema,dam,0.091,0.24478599429130554
DIOR,brightness,E,ema,golffield,0.127,0.24478599429130554
DIOR,brightness,E,ema,groundtrackfield,0.22,0.24478599429130554
DIOR,brightness,E,ema,harbor,0.107,0.24478599429130554
DIOR,brightness,E,ema,overpass,0.156,0.24478599429130554
DIOR,brightness,E,ema,ship,0.664,0.24478599429130554
DIOR,brightness,E,ema,stadium,0.194,0.24478599429130554
DIOR,brightness,E,ema,storagetank,0.347,0.24478599429130554
DIOR,brightness,E,ema,tenniscourt,0.534,0.24478599429130554
DIOR,brightness,E,ema,trainstation,0.13,0.24478599429130554
DIOR,brightness,E,ema,vehicle,0.274,0.24478599429130554
DIOR,brightness,E,ema,windmill,0.089,0.24478599429130554
DIOR,brightness,F,ema,airplane,0.32,0.2418944090604782
DIOR,brightness,F,ema,airport,0.015,0.2418944090604782
DIOR,brightness,F,ema,baseballfield,0.488,0.2418944090604782
DIOR,brightness,F,ema,basketballcourt,0.291,0.2418944090604782
DIOR,brightness,F,ema,bridge,0.108,0.2418944090604782
DIOR,brightness,F,ema,chimney,0.364,0.2418944090604782
DIOR,brightness,F,ema,expressway-service-area,0.224,0.2418944090604782
DIOR,brightness,F,ema,expressway-toll-station,0.14,0.2418944090604782
DIOR,brightness,F,ema,dam,0.091,0.2418944090604782
DIOR,brightness,F,ema,golffield,0.123,0.2418944090604782
DIOR,brightness,F,ema,groundtrackfield,0.228,0.2418944090604782
DIOR,brightness,F,ema,harbor,0.128,0.2418944090604782
DIOR,brightness,F,ema,overpass,0.154,0.2418944090604782
DIOR,brightness,F,ema,ship,0.617,0.2418944090604782
DIOR,brightness,F,ema,stadium,0.198,0.2418944090604782
DIOR,brightness,F,ema,storagetank,0.343,0.2418944090604782
DIOR,brightness,F,ema,tenniscourt,0.533,0.2418944090604782
DIOR,brightness,F,ema,trainstation,0.136,0.2418944090604782
DIOR,brightness,F,ema,vehicle,0.249,0.2418944090604782
DIOR,brightness,F,ema,windmill,0.087,0.2418944090604782
DIOR,cloudy,A,source,airplane,0.468,0.29026827216148376
DIOR,cloudy,A,source,airport,0.011,0.29026827216148376
DIOR,cloudy,A,source,baseballfield,0.526,0.29026827216148376
DIOR,cloudy,A,source,basketballcourt,0.359,0.29026827216148376
DIOR,cloudy,A,source,bridge,0.084,0.29026827216148376
DIOR,cloudy,A,source,chimney,0.417,0.29026827216148376
DIOR,cloudy,A,source,expressway-service-area,0.286,0.29026827216148376
DIOR,cloudy,A,source,expressway-toll-station,0.19,0.29026827216148376
DIOR,cloudy,A,source,dam,0.014,0.29026827216148376
DIOR,cloudy,A,source,golffield,0.278,0.29026827216148376
DIOR,cloudy,A,source,groundtrackfield,0.241,0.29026827216148376
DIOR,cloudy,A,source,harbor,0.099,0.29026827216148376
DIOR,cloudy,A,source,overpass,0.179,0.29026827216148376
DIOR,cloudy,A,source,ship,0.697,0.29026827216148376
DIOR,cloudy,A,source,stadium,0.258,0.29026827216148376
DIOR,cloudy,A,source,storagetank,0.476,0.29026827216148376
DIOR,cloudy,A,source,tenniscourt,0.612,0.29026827216148376
DIOR,cloudy,A,source,trainstation,0.096,0.29026827216148376
DIOR,cloudy,A,source,vehicle,0.295,0.29026827216148376
DIOR,cloudy,A,source,windmill,0.221,0.29026827216148376
DIOR,cloudy,B,ema,airplane,0.47,0.29717421531677246
DIOR,cloudy,B,ema,airport,0.091,0.29717421531677246
DIOR,cloudy,B,ema,baseballfield,0.526,0.29717421531677246
DIOR,cloudy,B,ema,basketballcourt,0.359,0.29717421531677246
DIOR,cloudy,B,ema,bridge,0.07,0.29717421531677246
DIOR,cloudy,B,ema,chimney,0.422,0.29717421531677246
DIOR,cloudy,B,ema,expressway-service-area,0.287,0.29717421531677246
DIOR,cloudy,B,ema,expressway-toll-station,0.185,0.29717421531677246
DIOR,cloudy,B,ema,dam,0.091,0.29717421531677246
DIOR,cloudy,B,ema,golffield,0.269,0.29717421531677246
DIOR,cloudy,B,ema,groundtrackfield,0.24,0.29717421531677246
DIOR,cloudy,B,ema,harbor,0.095,0.29717421531677246
DIOR,cloudy,B,ema,overpass,0.181,0.29717421531677246
DIOR,cloudy,B,ema,ship,0.7,0.29717421531677246
DIOR,cloudy,B,ema,stadium,0.262,0.29717421531677246
DIOR,cloudy,B,ema,storagetank,0.473,0.29717421531677246
DIOR,cloudy,B,ema,tenniscourt,0.616,0.29717421531677246
DIOR,cloudy,B,ema,trainstation,0.088,0.29717421531677246
DIOR,cloudy,B,ema,vehicle,0.3,0.29717421531677246
DIOR,cloudy,B,ema,windmill,0.218,0.29717421531677246
DIOR,cloudy,C,ema,airplane,0.469,0.29425033926963806
DIOR,cloudy,C,ema,airport,0.091,0.29425033926963806
DIOR,cloudy,C,ema,baseballfield,0.527,0.29425033926963806
DIOR,cloudy,C,ema,basketballcourt,0.361,0.29425033926963806
DIOR,cloudy,C,ema,bridge,0.068,0.29425033926963806
DIOR,cloudy,C,ema,chimney,0.424,0.29425033926963806
DIOR,cloudy,C,ema,expressway-service-area,0.279,0.29425033926963806
DIOR,cloudy,C,ema,expressway-toll-station,0.189,0.29425033926963806
DIOR,cloudy,C,ema,dam,0.012,0.29425033926963806
DIOR,cloudy,C,ema,golffield,0.27,0.29425033926963806
DIOR,cloudy,C,ema,groundtrackfield,0.244,0.29425033926963806
DIOR,cloudy,C,ema,harbor,0.125,0.29425033926963806
DIOR,cloudy,C,ema,overpass,0.183,0.29425033926963806
DIOR,cloudy,C,ema,ship,0.698,0.29425033926963806
DIOR,cloudy,C,ema,stadium,0.274,0.29425033926963806
DIOR,cloudy,C,ema,storagetank,0.47,0.29425033926963806
DIOR,cloudy,C,ema,tenniscourt,0.616,0.29425033926963806
DIOR,cloudy,C,ema,trainstation,0.091,0.29425033926963806
DIOR,cloudy,C,ema,vehicle,0.299,0.29425033926963806
DIOR,cloudy,C,ema,windmill,0.195,0.29425033926963806
DIOR,cloudy,D,ema,airplane,0.424,0.28670230507850647
DIOR,cloudy,D,ema,airport,0.03,0.28670230507850647
DIOR,cloudy,D,ema,baseballfield,0.525,0.28670230507850647
DIOR,cloudy,D,ema,basketballcourt,0.36,0.28670230507850647
DIOR,cloudy,D,ema,bridge,0.07,0.28670230507850647
DIOR,cloudy,D,ema,chimney,0.423,0.28670230507850647
DIOR,cloudy,D,ema,expressway-service-area,0.27,0.28670230507850647
DIOR,cloudy,D,ema,expressway-toll-station,0.181,0.28670230507850647
DIOR,cloudy,D,ema,dam,0.091,0.28670230507850647
DIOR,cloudy,D,ema,golffield,0.264,0.28670230507850647
DIOR,cloudy,D,ema,groundtrackfield,0.244,0.28670230507850647
DIOR,cloudy,D,ema,harbor,0.121,0.28670230507850647
DIOR,cloudy,D,ema,overpass,0.179,0.28670230507850647
DIOR,cloudy,D,ema,ship,0.627,0.28670230507850647
DIOR,cloudy,D,ema,stadium,0.261,0.28670230507850647
DIOR,cloudy,D,ema,storagetank,0.465,0.28670230507850647
DIOR,cloudy,D,ema,tenniscourt,0.615,0.28670230507850647
DIOR,cloudy,D,ema,trainstation,0.089,0.28670230507850647
DIOR,cloudy,D,ema,vehicle,0.287,0.28670230507850647
DIOR,cloudy,D,ema,windmill,0.208,0.28670230507850647
DIOR,cloudy,E,ema,airplane,0.471,0.2975709140300751
DIOR,cloudy,E,ema,airport,0.091,0.2975709140300751
DIOR,cloudy,E,ema,baseballfield,0.527,0.2975709140300751
DIOR,cloudy,E,ema,basketballcourt,0.362,0.2975709140300751
DIOR,cloudy,E,ema,bridge,0.07,0.2975709140300751
DIOR,cloudy,E,ema,chimney,0.428,0.2975709140300751
DIOR,cloudy,E,ema,expressway-service-area,0.277,0.2975709140300751
DIOR,cloudy,E,ema,expressway-toll-station,0.186,0.2975709140300751
DIOR,cloudy,E,ema,dam,0.091,0.2975709140300751
DIOR,cloudy,E,ema,golffield,0.271,0.2975709140300751
DIOR,cloudy,E,ema,groundtrackfield,0.239,0.2975709140300751
DIOR,cloudy,E,ema,harbor,0.102,0.2975709140300751
DIOR,cloudy,E,ema,overpass,0.181,0.2975709140300751
DIOR,cloudy,E,ema,ship,0.7,0.2975709140300751
DIOR,cloudy,E,ema,stadium,0.257,0.2975709140300751
DIOR,cloudy,E,ema,storagetank,0.475,0.2975709140300751
DIOR,cloudy,E,ema,tenniscourt,0.616,0.2975709140300751
DIOR,cloudy,E,ema,trainstation,0.091,0.2975709140300751
DIOR,cloudy,E,ema,vehicle,0.299,0.2975709140300751
DIOR,cloudy,E,ema,windmill,0.217,0.2975709140300751
DIOR,cloudy,F,ema,airplane,0.423,0.2878604531288147
DIOR,cloudy,F,ema,airport,0.03,0.2878604531288147
DIOR,cloudy,F,ema,baseballfield,0.525,0.2878604531288147
DIOR,cloudy,F,ema,basketballcourt,0.357,0.2878604531288147
