dataset,corruption,method,mAP50,delta_vs_clean,delta_ada,recovery,recovery_note,A_clean,A_corr,status
DIOR,brightness,A,0.2416841983795166,-0.05321565270423889,0.0,0.0,,0.2948998510837555,0.2416841983795166,done
DIOR,brightness,B,0.2446555644273758,-0.0502442866563797,0.002971366047859192,0.05583631688919429,,0.2948998510837555,0.2416841983795166,done
DIOR,brightness,C,0.24738624691963196,-0.047513604164123535,0.0057020485401153564,0.10714983750751139,,0.2948998510837555,0.2416841983795166,done
DIOR,brightness,D,0.23989610373973846,-0.05500374734401703,-0.0017880946397781372,-0.03360091531181589,,0.2948998510837555,0.2416841983795166,done
DIOR,brightness,E,0.24478599429130554,-0.05011385679244995,0.0031017959117889404,0.058287284927764624,,0.2948998510837555,0.2416841983795166,done
DIOR,brightness,F,0.2418944090604782,-0.05300544202327728,0.0002102106809616089,0.003950166356690474,,0.2948998510837555,0.2416841983795166,done
DIOR,cloudy,A,0.29026827216148376,-0.0046315789222717285,0.0,0.0,unstable_small_denom,0.2948998510837555,0.29026827216148376,done
DIOR,cloudy,B,0.29717421531677246,0.0022743642330169678,0.006905943155288696,1.4910559166076829,unstable_small_denom,0.2948998510837555,0.29026827216148376,done
DIOR,cloudy,C,0.29425033926963806,-0.0006495118141174316,0.003982067108154297,0.8597644939193102,unstable_small_denom,0.2948998510837555,0.29026827216148376,done
DIOR,cloudy,D,0.28670230507850647,-0.008197546005249023,-0.003565967082977295,-0.7699247152692877,unstable_small_denom,0.2948998510837555,0.29026827216148376,done
DIOR,cloudy,E,0.2975709140300751,0.00267106294631958,0.007302641868591309,1.576706775625764,unstable_small_denom,0.2948998510837555,0.29026827216148376,done
DIOR,cloudy,F,0.2878604531288147,-0.007039397954940796,-0.0024078190326690674,-0.5198700212341548,unstable_small_denom,0.2948998510837555,0.29026827216148376,done
DIOR,contrast,A,0.2816031277179718,-0.013296723365783691,0.0,0.0,unstable_small_denom,0.2948998510837555,0.2816031277179718,done
DIOR,contrast,B,0.28456738591194153,-0.010332465171813965,0.0029642581939697266,0.22293147811118783,unstable_small_denom,0.2948998510837555,0.2816031277179718,done
DIOR,contrast,C,0.28470754623413086,-0.010192304849624634,0.0031044185161590576,0.23347244510986992,unstable_small_denom,0.2948998510837555,0.2816031277179718,done
DIOR,contrast,D,0.27767622470855713,-0.017223626375198364,-0.003926903009414673,-0.2953286235554639,unstable_small_denom,0.2948998510837555,0.2816031277179718,done
DIOR,contrast,E,0.28468215465545654,-0.01021769642829895,0.003079026937484741,0.23156283339758474,unstable_small_denom,0.2948998510837555,0.2816031277179718,done
DIOR,contrast,F,0.2824195623397827,-0.012480288743972778,0.0008164346218109131,0.06140118880053075,unstable_small_denom,0.2948998510837555,0.2816031277179718,done
