dataset,corruption,method,n_images,show_dir,status
DIOR,brightness,A,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/brightness/A,done
DIOR,brightness,B,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/brightness/B,done
DIOR,brightness,C,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/brightness/C,done
DIOR,brightness,D,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/brightness/D,done
DIOR,brightness,E,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/brightness/E,done
DIOR,brightness,F,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/brightness/F,done
DIOR,brightness,A_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/A/ema,done
DIOR,brightness,B_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/B/ema,done
DIOR,brightness,B_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/B/student,done
DIOR,brightness,C_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/C/ema,done
DIOR,brightness,C_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/C/student,done
DIOR,brightness,D_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/D/ema,done
DIOR,brightness,D_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/D/student,done
DIOR,brightness,E_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/E/ema,done
DIOR,brightness,E_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/E/student,done
DIOR,brightness,F_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/F/ema,done
DIOR,brightness,F_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/brightness/F/student,done
DIOR,cloudy,A,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/cloudy/A,done
DIOR,cloudy,B,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/cloudy/B,done
DIOR,cloudy,C,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/cloudy/C,done
DIOR,cloudy,D,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/cloudy/D,done
DIOR,cloudy,E,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/cloudy/E,done
DIOR,cloudy,F,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/cloudy/F,done
DIOR,cloudy,A_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/A/ema,done
DIOR,cloudy,B_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/B/ema,done
DIOR,cloudy,B_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/B/student,done
DIOR,cloudy,C_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/C/ema,done
DIOR,cloudy,C_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/C/student,done
DIOR,cloudy,D_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/D/ema,done
DIOR,cloudy,D_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/D/student,done
DIOR,cloudy,E_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/E/ema,done
DIOR,cloudy,E_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/E/student,done
DIOR,cloudy,F_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/F/ema,done
DIOR,cloudy,F_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/cloudy/F/student,done
DIOR,contrast,A,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/contrast/A,done
DIOR,contrast,B,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/contrast/B,done
DIOR,contrast,C,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/contrast/C,done
DIOR,contrast,D,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/contrast/D,done
DIOR,contrast,E,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/contrast/E,done
DIOR,contrast,F,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/visualizations/DIOR/contrast/F,done
DIOR,contrast,A_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/A/ema,done
DIOR,contrast,B_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/B/ema,done
DIOR,contrast,B_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/B/student,done
DIOR,contrast,C_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/C/ema,done
DIOR,contrast,C_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/C/student,done
DIOR,contrast,D_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/D/ema,done
DIOR,contrast,D_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/D/student,done
DIOR,contrast,E_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/E/ema,done
DIOR,contrast,E_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/E/student,done
DIOR,contrast,F_ema,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/F/ema,done
DIOR,contrast,F_student,16,/mnt/shared/zechuan/iraod_artifacts/comparison/deliverables/results/paper_comparison/roi_features/DIOR/contrast/F/student,done
