dataset,corruption,method,mAP50,delta_vs_clean,delta_ada,recovery,status
RSAR,chaff,A,0.4719308912754059,-0.05946889519691467,0.0,0.0,done
RSAR,point_target,A,0.5158401131629944,-0.015559673309326172,0.0,0.0,done
RSAR,gaussian_white_noise,A,0.5281371474266052,-0.003262639045715332,0.0,0.0,done
RSAR,noise_suppression,A,0.16340675950050354,-0.367993026971817,0.0,0.0,done
RSAR,smart_suppression,A,0.14372646808624268,-0.3876733183860779,0.0,0.0,done
RSAR,am_noise_horizontal,A,0.2062060832977295,-0.32519370317459106,0.0,0.0,done
RSAR,am_noise_vertical,A,0.19074364006519318,-0.3406561464071274,0.0,0.0,done
RSAR,chaff,B,0.46308407187461853,-0.06831571459770203,-0.008846819400787354,-0.14876380957631005,done
RSAR,point_target,B,0.4961048364639282,-0.035294950008392334,-0.019735276699066162,-1.2683606080107872,done
RSAR,gaussian_white_noise,B,0.5201999545097351,-0.01119983196258545,-0.007937192916870117,-2.432752384084183,done
RSAR,noise_suppression,B,0.18080399930477142,-0.35059578716754913,0.017397239804267883,0.047276003970586816,done
RSAR,smart_suppression,B,0.14338570833206177,-0.3880140781402588,-0.0003407597541809082,-0.0008789868634744443,done
RSAR,am_noise_horizontal,B,0.22746574878692627,-0.3039340376853943,0.021259665489196777,0.06537539097976573,done
RSAR,am_noise_vertical,B,0.23654824495315552,-0.29485154151916504,0.04580460488796234,0.1344599396519328,done
RSAR,chaff,C,0.4662811756134033,-0.06511861085891724,-0.0056497156620025635,-0.09500286903422545,done
RSAR,point_target,C,0.5113670825958252,-0.02003270387649536,-0.0044730305671691895,-0.287475866507309,done
RSAR,gaussian_white_noise,C,0.5209313631057739,-0.01046842336654663,-0.007205784320831299,-2.208575395520479,done
RSAR,noise_suppression,C,0.18609456717967987,-0.3453052192926407,0.02268780767917633,0.06165281952724037,done
RSAR,smart_suppression,C,0.18142859637737274,-0.3499711900949478,0.037702128291130066,0.09725231658471553,done
RSAR,am_noise_horizontal,C,0.22914911806583405,-0.3022506684064865,0.022943034768104553,0.07055190350898899,done
RSAR,am_noise_vertical,C,0.2399219125509262,-0.29147787392139435,0.04917827248573303,0.14436337933253887,done
RSAR,chaff,D,0.4592876732349396,-0.07211211323738098,-0.012643218040466309,-0.212602201513948,done
RSAR,point_target,D,0.49968791007995605,-0.0317118763923645,-0.01615220308303833,-1.0380811191811468,done
RSAR,gaussian_white_noise,D,0.5107777118682861,-0.020622074604034424,-0.017359435558319092,-5.3206730242244875,done
RSAR,noise_suppression,D,0.16512688994407654,-0.366272896528244,0.001720130443572998,0.004674356081493727,done
RSAR,smart_suppression,D,0.1463812291622162,-0.38501855731010437,0.0026547610759735107,0.006847933427622881,done
RSAR,am_noise_horizontal,D,0.18934942781925201,-0.34205035865306854,-0.016856655478477478,-0.05183573763550834,done
RSAR,am_noise_vertical,D,0.17605535686016083,-0.35534442961215973,-0.014688283205032349,-0.043117622740550775,done
RSAR,chaff,E,0.4642108380794525,-0.06718894839286804,-0.007720053195953369,-0.1298166574373135,done
RSAR,point_target,E,0.5110751390457153,-0.020324647426605225,-0.004764974117279053,-0.3062386993962796,done
RSAR,gaussian_white_noise,E,0.522959291934967,-0.008440494537353516,-0.005177855491638184,-1.5870145054623845,done
RSAR,noise_suppression,E,0.18186284601688385,-0.3495369404554367,0.01845608651638031,0.05015335934013169,done
RSAR,smart_suppression,E,0.15498436987400055,-0.37641541659832,0.011257901787757874,0.02903966111112734,done
RSAR,am_noise_horizontal,E,0.2348482459783554,-0.29655154049396515,0.028642162680625916,0.08807723643175347,done
RSAR,am_noise_vertical,E,0.24959821999073029,-0.28180156648159027,0.05885457992553711,0.17276829009624975,done
RSAR,chaff,F,0.4494883120059967,-0.08191147446632385,-0.02244257926940918,-0.377383490900526,done
RSAR,point_target,F,0.507943332195282,-0.023456454277038574,-0.007896780967712402,-0.5075158591523398,done
RSAR,gaussian_white_noise,F,0.5211026072502136,-0.010297179222106934,-0.0070345401763916016,-2.1560890058094926,done
RSAR,noise_suppression,F,0.14126035571098328,-0.3901394307613373,-0.022146403789520264,-0.06018158542774877,done
RSAR,smart_suppression,F,0.13210909068584442,-0.39929069578647614,-0.011617377400398254,-0.029966925370986424,done
RSAR,am_noise_horizontal,F,0.15874627232551575,-0.3726535141468048,-0.047459810972213745,-0.14594320403163946,done
RSAR,am_noise_vertical,F,0.17133738100528717,-0.3600624054670334,-0.019406259059906006,-0.0569672946300316,done
