run_id,scope,expected_images,status,inspected,validated_images,detection_rows,visualizations_complete,out_dir
RSAR/clean/A/source,full_test,8538,complete,True,8538,59554,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/A/source
RSAR/clean/B/ema,full_test,8538,complete,True,8538,73073,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/B/ema
RSAR/clean/B/student,full_test,8538,complete,True,8538,178442,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/B/student
RSAR/clean/C/ema,full_test,8538,complete,True,8538,57965,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/C/ema
RSAR/clean/C/student,full_test,8538,complete,True,8538,115238,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/C/student
RSAR/clean/D/ema,full_test,8538,complete,True,8538,44468,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/D/ema
RSAR/clean/D/student,full_test,8538,complete,True,8538,51565,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/D/student
RSAR/clean/E/ema,full_test,8538,complete,True,8538,74921,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/E/ema
RSAR/clean/E/student,full_test,8538,complete,True,8538,277355,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/E/student
RSAR/clean/F/ema,full_test,8538,complete,True,8538,47153,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/F/ema
RSAR/clean/F/student,full_test,8538,complete,True,8538,62566,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/clean/F/student
RSAR/chaff/A/source,full_test,8538,complete,True,8538,67551,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/A/source
RSAR/chaff/B/ema,full_test,8538,complete,True,8538,74896,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/B/ema
RSAR/chaff/B/student,full_test,8538,complete,True,8538,161323,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/B/student
RSAR/chaff/C/ema,full_test,8538,complete,True,8538,59817,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/C/ema
RSAR/chaff/C/student,full_test,8538,complete,True,8538,79870,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/C/student
RSAR/chaff/D/ema,full_test,8538,complete,True,8538,46410,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/D/ema
RSAR/chaff/D/student,full_test,8538,complete,True,8538,25620,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/D/student
RSAR/chaff/E/ema,full_test,8538,complete,True,8538,78677,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/E/ema
RSAR/chaff/E/student,full_test,8538,complete,True,8538,249201,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/E/student
RSAR/chaff/F/ema,full_test,8538,complete,True,8538,53407,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/F/ema
RSAR/chaff/F/student,full_test,8538,complete,True,8538,58852,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/chaff/F/student
RSAR/gaussian_white_noise/A/source,full_test,8538,complete,True,8538,59649,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/A/source
RSAR/gaussian_white_noise/B/ema,full_test,8538,complete,True,8538,74021,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/B/ema
RSAR/gaussian_white_noise/B/student,full_test,8538,complete,True,8538,154565,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/B/student
RSAR/gaussian_white_noise/C/ema,full_test,8538,complete,True,8538,58408,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/C/ema
RSAR/gaussian_white_noise/C/student,full_test,8538,complete,True,8538,166396,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/C/student
RSAR/gaussian_white_noise/D/ema,full_test,8538,complete,True,8538,45307,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/D/ema
RSAR/gaussian_white_noise/D/student,full_test,8538,complete,True,8538,28836,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/D/student
RSAR/gaussian_white_noise/E/ema,full_test,8538,complete,True,8538,74479,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/E/ema
RSAR/gaussian_white_noise/E/student,full_test,8538,complete,True,8538,195624,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/E/student
RSAR/gaussian_white_noise/F/ema,full_test,8538,complete,True,8538,49204,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/F/ema
RSAR/gaussian_white_noise/F/student,full_test,8538,complete,True,8538,44952,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/gaussian_white_noise/F/student
RSAR/point_target/A/source,full_test,8538,complete,True,8538,106100,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/A/source
RSAR/point_target/B/ema,full_test,8538,complete,True,8538,88367,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/B/ema
RSAR/point_target/B/student,full_test,8538,complete,True,8538,169029,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/B/student
RSAR/point_target/C/ema,full_test,8538,complete,True,8538,71066,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/C/ema
RSAR/point_target/C/student,full_test,8538,complete,True,8538,464319,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/C/student
RSAR/point_target/D/ema,full_test,8538,complete,True,8538,68246,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/D/ema
RSAR/point_target/D/student,full_test,8538,complete,True,8538,22318,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/D/student
RSAR/point_target/E/ema,full_test,8538,complete,True,8538,92441,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/E/ema
RSAR/point_target/E/student,full_test,8538,complete,True,8538,261082,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/E/student
RSAR/point_target/F/ema,full_test,8538,complete,True,8538,69689,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/F/ema
RSAR/point_target/F/student,full_test,8538,complete,True,8538,56145,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/point_target/F/student
RSAR/noise_suppression/A/source,full_test,8538,complete,True,8538,54520,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/A/source
RSAR/noise_suppression/B/ema,full_test,8538,complete,True,8538,56731,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/B/ema
RSAR/noise_suppression/B/student,full_test,8538,complete,True,8538,72042,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/B/student
RSAR/noise_suppression/C/ema,full_test,8538,complete,True,8538,41353,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/C/ema
RSAR/noise_suppression/C/student,full_test,8538,complete,True,8538,39384,32,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/iraod-aligned-roi-v3-full-test/RSAR/noise_suppression/C/student
