dataset,corruption,method,seed,ckpt_role,mAP50,status,code,source_sha,note
RSAR,clean,A,42,source,0.5313997864723206,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,clean TEST
RSAR,chaff,A,42,source,0.4719308912754059,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,Source Only TEST
RSAR,point_target,A,42,source,0.5158401131629944,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,Source Only TEST
RSAR,gaussian_white_noise,A,42,source,0.5281371474266052,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,Source Only TEST
RSAR,noise_suppression,A,42,source,0.16340675950050354,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,Source Only TEST
RSAR,smart_suppression,A,42,source,0.14372646808624268,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,Source Only TEST
RSAR,am_noise_horizontal,A,42,source,0.2062060832977295,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,Source Only TEST
RSAR,am_noise_vertical,A,42,source,0.19074364006519318,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,Source Only TEST
RSAR,chaff,B,42,ema,0.46308407187461853,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,point_target,B,42,ema,0.4961048364639282,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,gaussian_white_noise,B,42,ema,0.5201999545097351,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,noise_suppression,B,42,ema,0.18080399930477142,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,smart_suppression,B,42,ema,0.14338570833206177,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_horizontal,B,42,ema,0.22746574878692627,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_vertical,B,42,ema,0.23654824495315552,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,chaff,C,42,ema,0.4662811756134033,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,point_target,C,42,ema,0.5113670825958252,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,gaussian_white_noise,C,42,ema,0.5209313631057739,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,noise_suppression,C,42,ema,0.18609456717967987,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,smart_suppression,C,42,ema,0.18142859637737274,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_horizontal,C,42,ema,0.22914911806583405,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_vertical,C,42,ema,0.2399219125509262,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,chaff,D,42,ema,0.4592876732349396,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,point_target,D,42,ema,0.49968791007995605,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,gaussian_white_noise,D,42,ema,0.5107777118682861,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,noise_suppression,D,42,ema,0.16512688994407654,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,smart_suppression,D,42,ema,0.1463812291622162,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_horizontal,D,42,ema,0.18934942781925201,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_vertical,D,42,ema,0.17605535686016083,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,chaff,E,42,ema,0.4642108380794525,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,point_target,E,42,ema,0.5110751390457153,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,gaussian_white_noise,E,42,ema,0.522959291934967,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,noise_suppression,E,42,ema,0.18186284601688385,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,smart_suppression,E,42,ema,0.15498436987400055,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_horizontal,E,42,ema,0.2348482459783554,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_vertical,E,42,ema,0.24959821999073029,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,chaff,F,42,ema,0.4494883120059967,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,point_target,F,42,ema,0.507943332195282,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,gaussian_white_noise,F,42,ema,0.5211026072502136,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,noise_suppression,F,42,ema,0.14126035571098328,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,smart_suppression,F,42,ema,0.13210909068584442,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_horizontal,F,42,ema,0.15874627232551575,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
RSAR,am_noise_vertical,F,42,ema,0.17133738100528717,done,0f98a48,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,final EMA
