dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,A,42,source,ship,0.776,printed class_ap.txt (typically 3 decimals),0.776,0.776,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,aircraft,0.622,printed class_ap.txt (typically 3 decimals),0.622,0.622,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,car,0.784,printed class_ap.txt (typically 3 decimals),0.784,0.784,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,tank,0.173,printed class_ap.txt (typically 3 decimals),0.173,0.173,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,bridge,0.395,printed class_ap.txt (typically 3 decimals),0.395,0.395,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,harbor,0.438,printed class_ap.txt (typically 3 decimals),0.438,0.438,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,42,ema,ship,0.761,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,42,ema,aircraft,0.691,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,42,ema,car,0.768,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,42,ema,tank,0.13,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,42,ema,bridge,0.371,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,42,ema,harbor,0.398,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,43,ema,ship,0.758,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,43,ema,aircraft,0.714,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,43,ema,car,0.766,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,43,ema,tank,0.143,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,43,ema,bridge,0.381,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,43,ema,harbor,0.39,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,44,ema,ship,0.76,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
