dataset,domain,method,role,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high
RSAR,clean,A,source,fixed_source,1,0.5313997864723206,,,
RSAR,clean,B,ema,complete_low_power,3,0.5244467258453369,0.004345370568949299,0.5197048783302307,0.5282383561134338
RSAR,clean,C,ema,complete_low_power,3,0.5212430556615194,0.009556020838793654,0.510209321975708,0.5268602967262268
RSAR,clean,D,ema,complete_low_power,3,0.5103671153386434,0.0007441262673052052,0.5099200010299683,0.5112261176109314
RSAR,clean,E,ema,complete_low_power,3,0.5270611643791199,0.0015745292389532412,0.5258550047874451,0.5288423895835876
RSAR,clean,F,ema,complete_low_power,3,0.5146665970484415,0.003659058289509386,0.5104420781135559,0.516840398311615
RSAR,chaff,A,source,fixed_source,1,0.4719308912754059,,,
RSAR,chaff,B,ema,complete_low_power,3,0.4649352530638377,0.0031164939310631226,0.46308407187461853,0.46853336691856384
RSAR,chaff,C,ema,complete_low_power,3,0.46769221623738605,0.002691660207390707,0.46599945425987244,0.47079601883888245
RSAR,chaff,D,ema,complete_low_power,3,0.46034982800483704,0.004260588341150219,0.4567207992076874,0.46504101157188416
RSAR,chaff,E,ema,complete_low_power,3,0.4653824071089427,0.0021513993604632014,0.4640710651874542,0.46786531805992126
RSAR,chaff,F,ema,complete_low_power,3,0.4483828941980998,0.0019612544343080157,0.44611844420433044,0.44954192638397217
RSAR,gaussian_white_noise,A,source,fixed_source,1,0.5281371474266052,,,
RSAR,gaussian_white_noise,B,ema,complete_low_power,3,0.520517885684967,0.008012079973481141,0.5126695036888123,0.5286841988563538
RSAR,gaussian_white_noise,C,ema,complete_low_power,3,0.5202707250912985,0.0030318721547032274,0.516963005065918,0.5229178071022034
RSAR,gaussian_white_noise,D,ema,complete_low_power,3,0.5130290389060974,0.004285372066036395,0.510338544845581,0.517970860004425
RSAR,gaussian_white_noise,E,ema,complete_low_power,3,0.5195051630338033,0.003911711096744742,0.5152575373649597,0.522959291934967
RSAR,gaussian_white_noise,F,ema,complete_low_power,3,0.5173177123069763,0.003433015596616318,0.5144047141075134,0.5211026072502136
RSAR,point_target,A,source,fixed_source,1,0.5158401131629944,,,
RSAR,point_target,B,ema,complete_low_power,3,0.49905627965927124,0.0052456863782571255,0.49595117568969727,0.5051128268241882
RSAR,point_target,C,ema,complete_low_power,3,0.5075014233589172,0.012947117736730322,0.49306178092956543,0.5180754065513611
RSAR,point_target,D,ema,complete_low_power,3,0.5004348953564962,0.0029171170455154225,0.49796390533447266,0.5036528706550598
RSAR,point_target,E,ema,complete_low_power,3,0.5065404574076334,0.00395881656386118,0.5037733912467957,0.5110751390457153
RSAR,point_target,F,ema,complete_low_power,3,0.5047443509101868,0.00358036437500533,0.5008768439292908,0.507943332195282
RSAR,noise_suppression,A,source,fixed_source,1,0.16340675950050354,,,
RSAR,noise_suppression,B,ema,complete_low_power,3,0.17610664665699005,0.0058392258490455075,0.1695689707994461,0.18080399930477142
RSAR,noise_suppression,C,ema,complete_low_power,3,0.1832217276096344,0.0025260158835684085,0.18134844303131104,0.18609456717967987
RSAR,noise_suppression,D,ema,complete_low_power,3,0.17237878839174905,0.007057457386103954,0.16512688994407654,0.17922423779964447
RSAR,noise_suppression,E,ema,complete_low_power,3,0.1771717518568039,0.0073423360723201695,0.16871023178100586,0.18186284601688385
RSAR,noise_suppression,F,ema,complete_low_power,3,0.15321034689744314,0.010857643735401792,0.14126035571098328,0.16246965527534485
RSAR,am_noise_horizontal,A,source,fixed_source,1,0.2062060832977295,,,
RSAR,am_noise_horizontal,B,ema,complete_low_power,3,0.22483670711517334,0.002417192201474287,0.22271044552326202,0.22746574878692627
RSAR,am_noise_horizontal,C,ema,complete_low_power,3,0.21612394352753958,0.011364114436974054,0.2082323282957077,0.22914911806583405
RSAR,am_noise_horizontal,D,ema,complete_low_power,3,0.17192177971204123,0.017426945311626578,0.15449553728103638,0.18934942781925201
RSAR,am_noise_horizontal,E,ema,complete_low_power,3,0.23286994298299155,0.002331284702067822,0.23029977083206177,0.2348482459783554
RSAR,am_noise_horizontal,F,ema,complete_low_power,3,0.15044608215490976,0.013075408020417375,0.13537369668483734,0.15874627232551575
RSAR,smart_suppression,A,source,fixed_source,1,0.14372646808624268,,,
RSAR,smart_suppression,B,ema,complete_low_power,3,0.1478535532951355,0.004157698532920389,0.14338570833206177,0.15160906314849854
RSAR,smart_suppression,C,ema,complete_low_power,3,0.1901048719882965,0.007952298954426267,0.18142859637737274,0.19704699516296387
RSAR,smart_suppression,D,ema,complete_low_power,3,0.1479930281639099,0.008048050266237868,0.14087285101413727,0.15672500431537628
RSAR,smart_suppression,E,ema,complete_low_power,3,0.1584546019633611,0.003623035729549995,0.15498436987400055,0.16221320629119873
RSAR,smart_suppression,F,ema,complete_low_power,3,0.13304228335618973,0.016340996542775366,0.11718787997961044,0.14982987940311432
RSAR,am_noise_vertical,A,source,fixed_source,1,0.19074364006519318,,,
RSAR,am_noise_vertical,B,ema,complete_low_power,3,0.23450805246829987,0.0021050753035318152,0.23234359920024872,0.23654824495315552
RSAR,am_noise_vertical,C,ema,complete_low_power,3,0.2309349775314331,0.007782944456821218,0.22641974687576294,0.2399219125509262
RSAR,am_noise_vertical,D,ema,complete_low_power,3,0.17249025404453278,0.0046336837651865135,0.16725248098373413,0.17605535686016083
