dataset,method,role,seed,corruptions_observed,corruptions_expected,status,mPC,delta_A,rPC_percent,method_clean_normalized_percent,clean_mAP50,clean_delta_A
RSAR,B,ema,42,7,7,complete_corruption_block,0.32394179488931385,0.0068002087729317805,60.9600912788826,62.331874953745356,0.5197048783302307,-0.011694908142089844
RSAR,B,ema,43,7,7,complete_corruption_block,0.32267254165240694,0.005530955536024911,60.72124036677878,61.415001722933994,0.5253969430923462,-0.006002843379974365
RSAR,B,ema,44,7,7,complete_corruption_block,0.3253061111484255,0.008164525032043457,61.21683136306077,61.58320526776918,0.5282383561134338,-0.0031614303588867188
RSAR,C,ema,42,7,7,complete_corruption_block,0.33359625935554504,0.01645467323916299,62.776889989006676,63.317782992650166,0.5268602967262268,-0.00453948974609375
RSAR,C,ema,43,7,7,complete_corruption_block,0.3263910732098988,0.00924948709351676,61.42100194970624,63.97199328816632,0.510209321975708,-0.02119046449661255
RSAR,C,ema,44,7,7,complete_corruption_block,0.33251976115362986,0.015378175037247794,62.574312150377594,63.13751687175119,0.5266595482826233,-0.004740238189697266
RSAR,D,ema,42,7,7,complete_corruption_block,0.3066665998526982,-0.010474986263683863,57.709206450475634,60.14013947938379,0.5099200010299683,-0.021479785442352295
RSAR,D,ema,43,7,7,complete_corruption_block,0.3010485427720206,-0.01609304334436144,56.65198790735712,59.034308623847856,0.5099552273750305,-0.02144455909729004
RSAR,D,ema,44,7,7,complete_corruption_block,0.3088266913379942,-0.008314894778387887,58.11569729602823,60.40902072476405,0.5112261176109314,-0.02017366886138916
RSAR,E,ema,42,7,7,complete_corruption_block,0.3313627072743007,0.014221121157918657,62.356575164254544,62.65812155020646,0.5288423895835876,-0.00255739688873291
RSAR,E,ema,43,7,7,complete_corruption_block,0.3293028048106602,0.012161218694278173,61.9689381128144,62.62235821902411,0.5258550047874451,-0.005544781684875488
RSAR,E,ema,44,7,7,complete_corruption_block,0.32846719878060476,0.011325612664222717,61.81169190170796,62.38857959408157,0.5264860987663269,-0.004913687705993652
RSAR,F,ema,42,7,7,complete_corruption_block,0.29742676445416044,-0.019714821662221636,55.97043356539865,57.54712004436522,0.516840398311615,-0.014559388160705566
RSAR,F,ema,43,7,7,complete_corruption_block,0.29117900878190994,-0.02596257733447211,54.794716933345406,57.04447600754665,0.5104420781135559,-0.02095770835876465
RSAR,F,ema,44,7,7,complete_corruption_block,0.29800016965184895,-0.019141416464533125,56.07833823760317,57.67179871130141,0.5167173147201538,-0.014682471752166748
DIOR,B,ema,42,3,3,complete_corruption_block,0.2754657218853633,0.004280522465705872,93.40992234245901,92.74933898928184,0.2970001995563507,0.002100348472595215
DIOR,B,ema,43,3,3,complete_corruption_block,0.2746562212705612,0.003471021850903829,93.13542216491496,91.90675685082257,0.29884225130081177,0.003942400217056274
DIOR,B,ema,44,3,3,complete_corruption_block,0.2763400971889496,0.005154897769292195,93.70642140828525,92.5813488485685,0.29848355054855347,0.0035836994647979736
DIOR,C,ema,42,3,3,complete_corruption_block,0.2754480441411336,0.004262844721476237,93.40392785173115,93.1844050200561,0.29559457302093506,0.0006947219371795654
DIOR,C,ema,43,3,3,complete_corruption_block,0.2754852771759033,0.004300077756245931,93.41655350570585,92.81724462950376,0.2968039810657501,0.001904129981994629
DIOR,C,ema,44,3,3,complete_corruption_block,0.27534069617589313,0.004155496756235759,93.3675263531051,92.47181517715781,0.2977563440799713,0.0028564929962158203
DIOR,D,ema,42,3,3,complete_corruption_block,0.268091544508934,-0.003093654910723368,90.90935228474986,89.32107554747968,0.30014365911483765,0.005243808031082153
DIOR,D,ema,43,3,3,complete_corruption_block,0.2691752811272939,-0.002009918292363485,91.2768453894012,89.90113555294595,0.2994125485420227,0.004512697458267212
DIOR,D,ema,44,3,3,complete_corruption_block,0.2682774265607198,-0.0029077728589375815,90.97238454844978,89.84981540418674,0.2985842823982239,0.003684431314468384
DIOR,E,ema,42,3,3,complete_corruption_block,0.27567968765894574,0.00449448823928833,93.48247774484261,92.31002845592306,0.2986454367637634,0.0037455856800079346
DIOR,E,ema,43,3,3,complete_corruption_block,0.27632224559783936,0.005137046178181966,93.70036796639825,92.6977996280425,0.29808932542800903,0.00318947434425354
DIOR,E,ema,44,3,3,complete_corruption_block,0.27526265382766724,0.004077454408009847,93.34106233559575,91.20378407126555,0.3018105626106262,0.0069107115268707275
DIOR,F,ema,42,3,3,complete_corruption_block,0.2707248081763585,-0.00046039124329884845,91.80228717696744,90.54042852399512,0.29900985956192017,0.004110008478164673
DIOR,F,ema,43,3,3,complete_corruption_block,0.2672031621138255,-0.003982037305831909,90.60810343981362,90.68897494898619,0.29463687539100647,-0.00026297569274902344
DIOR,F,ema,44,3,3,complete_corruption_block,0.26794591049353284,-0.0032392889261245728,90.85996805655647,89.45963397272735,0.2995159924030304,0.004616141319274902
