dataset,domain,comparison,scope,directory,status,problems,n_points
DIOR,brightness,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/brightness/ema,complete,[],6000
DIOR,brightness,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/brightness/student,complete,[],6000
DIOR,clean,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/clean/ema,complete,[],6000
DIOR,clean,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/clean/student,complete,[],6000
DIOR,cloudy,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/cloudy/ema,complete,[],6000
DIOR,cloudy,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/cloudy/student,complete,[],6000
DIOR,contrast,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/contrast/ema,complete,[],6000
DIOR,contrast,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/DIOR/contrast/student,complete,[],6000
RSAR,am_noise_horizontal,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/am_noise_horizontal/ema,complete,[],6000
RSAR,am_noise_horizontal,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/am_noise_horizontal/student,complete,[],6000
RSAR,am_noise_vertical,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/am_noise_vertical/ema,complete,[],6000
RSAR,am_noise_vertical,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/am_noise_vertical/student,complete,[],3984
RSAR,chaff,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/chaff/ema,complete,[],6000
RSAR,chaff,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/chaff/student,complete,[],6000
RSAR,clean,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/clean/ema,complete,[],6000
RSAR,clean,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/clean/student,complete,[],6000
RSAR,gaussian_white_noise,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/gaussian_white_noise/ema,complete,[],6000
RSAR,gaussian_white_noise,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/gaussian_white_noise/student,complete,[],6000
RSAR,noise_suppression,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/noise_suppression/ema,complete,[],6000
RSAR,noise_suppression,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/noise_suppression/student,complete,[],6000
RSAR,point_target,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/point_target/ema,complete,[],6000
RSAR,point_target,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/point_target/student,complete,[],6000
RSAR,smart_suppression,ema,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/smart_suppression/ema,complete,[],6000
RSAR,smart_suppression,student,sampled_joint_embedding_not_full_TEST,/mnt/shared/zechuan/iraod_artifacts/comparison/full_test_roi_v3_331d213/tsne/RSAR/smart_suppression/student,complete,[],6000
