dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation
RSAR,chaff,A,42,source,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.0,0.0,descriptive_only_unstable_near_zero_gap
RSAR,chaff,B,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.008846819400787354,-0.14876380957631005,descriptive_only_unstable_near_zero_gap
RSAR,chaff,B,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.008742570877075195,-0.1470108171360273,descriptive_only_unstable_near_zero_gap
RSAR,chaff,B,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.003397524356842041,-0.05713111611695637,descriptive_only_unstable_near_zero_gap
RSAR,chaff,C,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.0056497156620025635,-0.09500286903422545,descriptive_only_unstable_near_zero_gap
RSAR,chaff,C,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.005931437015533447,-0.09974015821032402,descriptive_only_unstable_near_zero_gap
RSAR,chaff,C,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.0011348724365234375,-0.019083462586039705,descriptive_only_unstable_near_zero_gap
RSAR,chaff,D,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.012643218040466309,-0.212602201513948,descriptive_only_unstable_near_zero_gap
RSAR,chaff,D,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.015210092067718506,-0.25576550593977787,descriptive_only_unstable_near_zero_gap
RSAR,chaff,D,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.0068898797035217285,-0.11585686400777771,descriptive_only_unstable_near_zero_gap
RSAR,chaff,E,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.007720053195953369,-0.1298166574373135,descriptive_only_unstable_near_zero_gap
RSAR,chaff,E,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.00785982608795166,-0.1321670103661088,descriptive_only_unstable_near_zero_gap
RSAR,chaff,E,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.004065573215484619,-0.06836470060562932,descriptive_only_unstable_near_zero_gap
RSAR,chaff,F,42,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.02244257926940918,-0.377383490900526,descriptive_only_unstable_near_zero_gap
RSAR,chaff,F,43,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.02581244707107544,-0.4340495478452175,descriptive_only_unstable_near_zero_gap
RSAR,chaff,F,44,ema,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.022388964891433716,-0.37648193761291343,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,A,42,source,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.0,0.0,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,B,42,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.007937192916870117,-2.432752384084183,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,B,43,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.015467643737792969,-4.7408381745770765,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,B,44,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.0005470514297485352,0.16767145310387666,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,C,42,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.007205784320831299,-2.208575395520479,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,C,43,ema,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.011174142360687256,-3.424878512185319,descriptive_only_unstable_near_zero_gap
